sentence_id,post_id,source,in_processed_test_3237,in_test_v4_silver,in_gold_v2,in_v4_hybrid_2601,in_simhuman980,has_v4_labels,n_spans,annotation_protocol,human_verification_status,processed_test_has_bio4,eligible_for_repartition,exclusion_reason,title
1883-s0016,1883,AI,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,职业顾问
1884-s0016,1884,AI,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,android开发工程师(蓝软宇影智能医疗科技（常州）有限公司)
1886-s0005,1886,AI,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,机器学习算法工程师
1897-s0010,1897,AI,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,诚聘营销策划助理+双休
1919-s0008,1919,AI,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,销售代表，渠道运营(南京物联传感技术有限公司)
1938-s0009,1938,AI,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,课程顾问课程咨询(北京中汇友邦教育科技有限公司)
1946-s0004,1946,Cloud,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,售后运维
1947-s0014,1947,Cloud,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,网络管理员/网管/IT
1948-s0013,1948,Cloud,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,高级IT经理
1949-s0007,1949,Cloud,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,外贸跟单员、外贸客服文员(接受应届生、实习生）
1958-s0001,1958,Cloud,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,IT专员
1965-s0021,1965,Cloud,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,运维中高级工程师-山东
1968-s0013,1968,Cloud,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,游戏运维工程师
1969-s0013,1969,Cloud,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,运维测试工程师
1971-s0015,1971,Cloud,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,电力设备主管
1973-s0031,1973,Cloud,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,月薪8K完美日记彩妆线上导购
1975-s0008,1975,Cloud,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,电气运维工程师/产品工程师-机电蒸汽变频器
1976-s0015,1976,Cloud,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,项目实施工程师
1977-s0015,1977,Cloud,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,高级网络工程师
1978-s0007,1978,Cloud,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,Java架构师
1979-s0009,1979,Cloud,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,生物制品工程师
1980-s0008,1980,Cloud,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,信息系统管理员
1987-s0055,1987,Public,1,1,0,0,0,1,1,rule_v4,not_human_reviewed,1,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0074,1987,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0075,1987,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0076,1987,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0077,1987,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0078,1987,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0079,1987,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0080,1987,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0081,1987,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0082,1987,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0083,1987,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0084,1987,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0085,1987,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0086,1987,Public,1,1,0,0,0,1,0,empty_shiye_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0087,1987,Public,1,1,0,0,0,1,0,empty_shiye_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0088,1987,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0089,1987,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0090,1987,Public,1,1,0,0,0,1,1,rule_v4,not_human_reviewed,1,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0091,1987,Public,1,1,0,0,0,1,2,rule_v4,not_human_reviewed,1,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0092,1987,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0093,1987,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0094,1987,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0095,1987,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0096,1987,Public,1,1,0,0,0,1,1,rule_v4,not_human_reviewed,1,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0097,1987,Public,1,1,0,0,0,1,1,rule_v4,not_human_reviewed,1,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0098,1987,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0099,1987,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0100,1987,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0101,1987,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,1,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0102,1987,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,1,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0103,1987,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,1,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0104,1987,Public,1,1,0,0,0,1,0,empty_shiye_process,not_human_reviewed,1,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0105,1987,Public,1,1,0,0,0,1,0,empty_shiye_process,not_human_reviewed,1,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0106,1987,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0107,1987,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0108,1987,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0109,1987,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0110,1987,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0111,1987,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0112,1987,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0113,1987,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0114,1987,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0115,1987,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0116,1987,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0117,1987,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0118,1987,Public,1,1,0,0,0,1,2,rule_v4,not_human_reviewed,1,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0119,1987,Public,1,1,0,0,0,1,1,rule_v4,not_human_reviewed,1,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0120,1987,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0121,1987,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0122,1987,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0123,1987,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0124,1987,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0125,1987,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0126,1987,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,1,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0127,1987,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,1,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0128,1987,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0129,1987,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0130,1987,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0131,1987,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0132,1987,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0133,1987,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0134,1987,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0135,1987,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0136,1987,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0137,1987,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0138,1987,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0139,1987,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0140,1987,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0141,1987,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0142,1987,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0143,1987,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0144,1987,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0145,1987,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0146,1987,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1987-s0147,1987,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,2023年南通开放大学公开招聘高层次人才公告
1988-s0164,1988,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0165,1988,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0166,1988,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0167,1988,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0168,1988,Public,1,1,0,0,0,1,0,empty_shiye_process,not_human_reviewed,1,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0169,1988,Public,1,1,0,0,0,1,0,empty_shiye_process,not_human_reviewed,1,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0170,1988,Public,1,1,0,0,0,1,0,empty_shiye_process,not_human_reviewed,1,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0171,1988,Public,1,1,0,0,0,1,0,empty_shiye_process,not_human_reviewed,1,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0172,1988,Public,1,1,0,0,0,1,2,rule_v4,not_human_reviewed,1,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0173,1988,Public,1,1,0,0,0,1,1,rule_v4,not_human_reviewed,1,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0174,1988,Public,1,1,0,0,0,1,2,rule_v4,not_human_reviewed,1,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0175,1988,Public,1,1,0,0,0,1,2,rule_v4,not_human_reviewed,1,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0176,1988,Public,1,1,0,0,0,1,1,rule_v4,not_human_reviewed,1,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0177,1988,Public,1,1,0,0,0,1,1,rule_v4,not_human_reviewed,1,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0178,1988,Public,1,1,0,0,0,1,6,rule_v4,not_human_reviewed,1,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0179,1988,Public,1,1,0,0,0,1,5,rule_v4,not_human_reviewed,1,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0180,1988,Public,1,1,0,0,0,1,1,rule_v4,not_human_reviewed,1,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0181,1988,Public,1,1,0,0,0,1,1,rule_v4,not_human_reviewed,1,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0182,1988,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0183,1988,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0184,1988,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0185,1988,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0186,1988,Public,1,1,0,0,0,1,2,rule_v4,not_human_reviewed,1,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0187,1988,Public,1,1,0,0,0,1,1,rule_v4,not_human_reviewed,1,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0188,1988,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0189,1988,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0190,1988,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0191,1988,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0192,1988,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0193,1988,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0194,1988,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0195,1988,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0196,1988,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0197,1988,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0198,1988,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0199,1988,Public,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0200,1988,Public,1,1,0,0,0,1,0,empty_shiye_process,not_human_reviewed,1,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0201,1988,Public,1,1,0,0,0,1,0,empty_shiye_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0202,1988,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0203,1988,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0204,1988,Public,1,1,0,0,0,1,0,empty_shiye_process,not_human_reviewed,1,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0205,1988,Public,1,1,0,0,0,1,0,empty_shiye_process,not_human_reviewed,1,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0206,1988,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0207,1988,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0208,1988,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
1988-s0209,1988,Public,1,1,0,0,0,1,0,empty_process,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,涿鹿县2023年事业单位公开招聘工作人员公告
