id,role,status,source_domain,empty_hint,sentence,spans_json,comment
1251-s0005,lock80,locked,人工智能招聘,,", , 6、拟制产品电子设计方案。","[{""text"": ""拟制产品电子设计方案"", ""type"": ""S""}]",拟制设计方案属于执行技能S
1266-s0003,lock80,locked,人工智能招聘,, 4、管理及优化相关的、精准的关键词列表，并进行合乎逻辑的分组；,"[{""text"": ""管理及优化相关的、精准的关键词列表，并进行合乎逻辑的分组"", ""type"": ""S""}]",关键词管理优化分组属于实操技能S
1292-s0002,lock80,locked,人工智能招聘,, 2、对信用评级，征信理论和体系、风险控制、贷前授信、贷中监控、贷后催缴等有独立认识。,"[{""text"": ""对信用评级，征信理论和体系、风险控制、贷前授信、贷中监控、贷后催缴等有独立认识"", ""type"": ""K""}]",业务领域理论认知属于领域知识K
1293-s0000,lock80,locked,人工智能招聘,,[工作职责： 1. 对接台湾研发团队，负责汽车辅助驾驶类AI产品的需求收集、开发管理工作；,"[{""text"": ""对接台湾研发团队，负责汽车辅助驾驶类AI产品的需求收集、开发管理工作"", ""type"": ""S""}]",需求收集、开发管理属于岗位执行技能S
1305-s0008,lock80,locked,人工智能招聘,,掌握NodeJS/Python/Ruby等动态语言者优先;,"[{""text"": ""掌握NodeJS/Python/Ruby等动态语言"", ""type"": ""S""}]",掌握编程语言属于实操技能S
1328-s0014,lock80,locked,人工智能招聘,,公司成长迅速，晋升空间大。,[],公司发展情况描述，无候选人能力要求
1336-s0028,lock80,locked,人工智能招聘,,（我们更加看重你的能力！,[],招聘宣传话术，无具体能力要求
1338-s0012,lock80,locked,人工智能招聘,, 四、其他福利 股票期权（员工持股计划） 晋升空间（不定期选拔优秀人才） （1）纵向发展：普通员工--优秀员工--MO --主管→经理→总监 （2）横向发展：客户经理、产品培训师、运营/商务/产品等方向。,[],福利晋升通道说明，无候选人能力要求
1354-s0004,lock80,locked,人工智能招聘,, 4.有效的和业务方，产品经理沟通策略方案，根据各方反馈迭代策略设计；,"[{""text"": ""有效的和业务方，产品经理沟通策略方案，根据各方反馈迭代策略设计"", ""type"": ""S""}]",沟通方案、迭代策略设计属于执行技能S
1355-s0000,lock80,locked,人工智能招聘,,岗位职责：1、负责产品的运营规划、运营数据分析；,"[{""text"": ""负责产品的运营规划、运营数据分析"", ""type"": ""S""}]",运营规划、数据分析属于实操技能S
1358-s0004,lock80,locked,人工智能招聘,,特征提取，算法验证4.&nbsp;,"[{""text"": ""特征提取，算法验证"", ""type"": ""S""}]",特征提取、算法验证属于技术实操技能S
1360-s0004,lock80,locked,人工智能招聘,,5.撰写、跟进和落实公司会议、专题研讨会议等公司会议纪要；,"[{""text"": ""撰写、跟进和落实公司会议、专题研讨会议等公司会议纪要"", ""type"": ""S""}]",撰写落实会议纪要属于执行技能S
1382-s0002,lock80,locked,人工智能招聘,,3、拓展专项申报客户、挖掘潜在客户；,"[{""text"": ""拓展专项申报客户、挖掘潜在客户"", ""type"": ""S""}]",客户拓展挖掘属于业务实操技能S
1457-s0011,lock80,locked,人工智能招聘,, 3.根据反馈的问题持续进行算法优化。,"[{""text"": ""根据反馈的问题持续进行算法优化"", ""type"": ""S""}]",算法优化属于技术实操技能S
1457-s0012,lock80,locked,人工智能招聘,," 地点：洪山区野芷湖西路创意天地5号办公楼 4层 工作时间：周一至周五 朝九晚六, 高薪诚聘",[],地点工时薪资信息，无候选人能力要求
1486-s0005,lock80,locked,人工智能招聘,, 6. 为公司业务活动提供研究领域内的专业支持，协助各业务部门完成数据整理、分析与利用；,"[{""text"": ""为公司业务活动提供研究领域内的专业支持，协助各业务部门完成数据整理、分析与利用"", ""type"": ""S""}]",专业支持、数据整理分析利用属于执行技能S
1489-s0000,lock80,locked,人工智能招聘,,岗位职责: 1、负责事业部内云计算实施项目的管理工作，包括项目计划的编排、进度推进、上线验收和交付运维；,"[{""text"": ""负责事业部内云计算实施项目的管理工作，包括项目计划的编排、进度推进、上线验收和交付运维"", ""type"": ""S""}]",云计算项目全流程管理属于实操技能S
1494-s0003,lock80,locked,人工智能招聘,,3）负责移动端产品后台，接口的开发和维护4）根据功能需求和设计方案进行开发，完成代码的编写和调试工作；,"[{""text"": ""负责移动端产品后台，接口的开发和维护"", ""type"": ""S""}, {""text"": ""根据功能需求和设计方案进行开发，完成代码的编写和调试工作"", ""type"": ""S""}]",后台接口开发维护、编码调试属于技术实操S
1498-s0000,lock80,locked,人工智能招聘,,职责：1、负责数据仓库ETL脚本的开发，以及数据监控的相关脚本开发；,"[{""text"": ""负责数据仓库ETL脚本的开发，以及数据监控的相关脚本开发"", ""type"": ""S""}]",脚本开发属于技术实操技能S
1513-s0171,lock80,locked,人工智能招聘,,lt;,[],乱码片段，无能力要求
1513-s0204,lock80,locked,人工智能招聘,,"编程, &amp;",[],乱码片段，无完整能力要求
1518-s0002,lock80,locked,人工智能招聘,, 工作地点：北京、天津、珠海 基本要求： 1. 有扎实的编程功底，熟练使用C/C++和ASM编程，有良好规范的编程习惯，具备软件调试、优化经验。,"[{""text"": ""有扎实的编程功底"", ""type"": ""S""}, {""text"": ""熟练使用C/C++和ASM编程"", ""type"": ""S""}, {""text"": ""有良好规范的编程习惯"", ""type"": ""T""}, {""text"": ""具备软件调试、优化经验"", ""type"": ""S""}]",编程功底改为S，与语言使用并列
1519-s0003,lock80,locked,人工智能招聘,,团队成员也多数来自BAT、小米、华为、乐视等国内顶尖公司，技术实力雄厚。,[],团队背景介绍，无候选人能力要求
1521-s0009,lock80,locked,人工智能招聘,, 4. 熟练使用C++或C#编程语言，熟悉面向对象编程思想，具有良好的编程基础；,"[{""text"": ""熟练使用C++或C#编程语言"", ""type"": ""S""}, {""text"": ""熟悉面向对象编程思想"", ""type"": ""K""}, {""text"": ""具有良好的编程基础"", ""type"": ""K""}]",语言使用为S，编程思想、编程基础属于知识K
1526-s0003,lock80,locked,人工智能招聘,, 2、能独立完成产品电子电路、软件设计；,"[{""text"": ""能独立完成产品电子电路、软件设计"", ""type"": ""S""}]",电路软件设计属于实操技能S
1556-s0007,lock80,locked,人工智能招聘,,4.具备良好的沟通能力、团队协作能力，有用户增长/用户运营相关的算法经验优先。,"[{""text"": ""具备良好的沟通能力、团队协作能力"", ""type"": ""T""}, {""text"": ""有用户增长/用户运营相关的算法经验"", ""type"": ""S""}]",沟通协作为软技能T，算法经验属于S
1558-s0002,lock80,locked,人工智能招聘,, 3、大数据新技术研究和应用，并推动适合技术应用于生产；,"[{""text"": ""大数据新技术研究和应用，并推动适合技术应用于生产"", ""type"": ""S""}]",技术研究落地推动属于执行技能S
1581-s0012,lock80,locked,人工智能招聘,empty_welfare,", 3.完善的福利体系：公司为员工购买五险一金，保障基本福利，并提供员工餐、节日及生日福利等；",[],福利说明，无候选人能力要求
1589-s0012,lock80,locked,人工智能招聘,, 在创始初期，观数科技即获得多家著名VC的重量级投资。,[],企业融资背景，无候选人能力要求
983-s0016,lock80,locked,人工智能招聘,,9.深入理解并熟练掌握MVC框架模式；,"[{""text"": ""深入理解并熟练掌握MVC框架模式"", ""type"": ""S""}]",框架掌握与Spring等一致标S
130-s0003,lock80,locked,应届生招聘,, 4. 社群营销，运用有效手段提升用户的活跃度和关注度，并收集反馈分析用户需求。,"[{""text"": ""社群营销，运用有效手段提升用户的活跃度和关注度，并收集反馈分析用户需求"", ""type"": ""S""}]",社群营销相关操作属于实操技能S
162-s0008,lock80,locked,应届生招聘,,6、完成领导及时交付的工作及其它事项，并配合其它部门达到公司的目标任务。,[],通用事务工作交代，不属于岗位能力要求
176-s0000,lock80,locked,应届生招聘,,岗位职责：1、负责分店日常顾客接待、商品销售等工作；,"[{""text"": ""负责分店日常顾客接待、商品销售等工作"", ""type"": ""S""}]",顾客接待商品销售属于岗位执行技能S
181-s0012,lock80,locked,应届生招聘,,5、其他专业要求会python或通过证券、基金从业资格考试两科及以上，且持有C1驾照；,"[{""text"": ""会python"", ""type"": ""S""}, {""text"": ""通过证券、基金从业资格考试两科及以上"", ""type"": ""K""}]",删掉C1驾照
212-s0008,lock80,locked,应届生招聘,,3、形象好，气质佳，具备良好的服务意识。,"[{""text"": ""良好的服务意识"", ""type"": ""T""}]",形象外貌不标，只留服务意识
217-s0014,lock80,locked,应届生招聘,, 5、过节费（春节、端午、中秋等）、生日礼券、春节利是、等多项福利；,[],福利介绍，无候选人能力要求
267-s0007,lock80,locked,应届生招聘,,5、自学能力强，身体健康、性格开朗，具有团队合作意识、团队精神；,"[{""text"": ""自学能力强"", ""type"": ""T""}, {""text"": ""性格开朗，具有团队合作意识、团队精神"", ""type"": ""T""}]",去掉身体健康
288-s0000,lock80,locked,应届生招聘,,岗位职责：1、重点工作：洗车;,"[{""text"": ""洗车"", ""type"": ""S""}]",洗车为岗位实操工作技能S
290-s0005,lock80,locked,应届生招聘,, - 负责协助销售团队处理销售事务，确保销售合同的履行和销售目标的实现。,"[{""text"": ""协助销售团队处理销售事务，确保销售合同的履行和销售目标的实现"", ""type"": ""S""}]",销售事务处理属于业务实操S
305-s0000,lock80,locked,应届生招聘,,工作职责岗位职责：1.完成行程线路的设计、行程编写、报价的计算工作；,"[{""text"": ""完成行程线路的设计、行程编写、报价的计算工作"", ""type"": ""S""}]",线路设计、编写、报价计算属于执行技能S
34-s0000,lock80,locked,应届生招聘,,欢迎应届毕业生！,[],招聘欢迎语，无能力要求
382-s0011,lock80,locked,应届生招聘,,2、传统法定节假日，按照国家规定带薪假期;,[],假期福利说明，无候选人能力要求
383-s0013,lock80,locked,应届生招聘,,4、培训：定期开展入职培训、在职培训及员工外部培训拓展活动;,[],公司培训制度，属于单位安排，无候选人能力要求
393-s0019,lock80,locked,应届生招聘,,迈出坚实的一步，就会实现不平凡人生的开始。,[],励志宣传话术，无能力要求
397-s0010,lock80,locked,应届生招聘,,薪资待遇：1、底薪1600元—2000元，提成20%—30%，平均月薪3000元—10000元；,[],薪资说明，无候选人能力要求
413-s0000,lock80,locked,应届生招聘,,接受优秀应届生岗位职责：1、负责公司国内阿里巴巴诚信通平台的操作管理；,"[{""text"": ""负责公司国内阿里巴巴诚信通平台的操作管理"", ""type"": ""S""}]",平台操作管理属于实操技能S
42-s0010,lock80,locked,应届生招聘,,5、能够在压力下自我管理与驱动，具备很强的团队精神；,"[{""text"": ""能够在压力下自我管理与驱动，具备很强的团队精神"", ""type"": ""T""}]",压力下自我驱动、团队精神属于特质态度T
425-s0003,lock80,locked,应届生招聘,,3.独立完成订单，收集潜在客户资料，能协助团队完成销售任务；,"[{""text"": ""独立完成订单，收集潜在客户资料，能协助团队完成销售任务"", ""type"": ""S""}]",订单处理客户资料收集销售协助属于业务技能S
460-s0008,lock80,locked,应届生招聘,,熟悉Web2.0；,"[{""text"": ""熟悉Web2.0"", ""type"": ""S""}]",熟悉技术栈标S
469-s0001,lock80,locked,应届生招聘,, 2、商务洽谈及合同签订，跟进合同执行，回收货款；,"[{""text"": ""商务洽谈及合同签订，跟进合同执行，回收货款"", ""type"": ""S""}]",商务洽谈签单回款属于业务实操技能S
490-s0006,lock80,locked,应届生招聘,empty_welfare,加班费规格按《劳动法》规定进行实行（注：部分站区由于客流量不同例外）大白班（上午7:00——下午5：00，每上2小时之间均休息0.5小时）小白班（上午9:30——下午5：00，每上2小时之间均休息0.5小时）小夜班（下午5:00——晚上9：30，每上2小时之间均休息0.5小时）【工作班次：轮休倒班制，每班平均8小时左右（不加班不会超过8小时】四、薪资待遇：实习期1-2个月（工作表现好可提前转正）试用：底薪【2500】+加班费+奖金+早晚高峰补助——月综合收入：【3500~4500】不等。,[],班次薪资加班费制度，无候选人能力要求
553-s0035,lock80,locked,应届生招聘,,我们的福利是不断完善更新哒，接下来将计划上线丰富的体育俱乐部、豪华年度旅游…….敬请期待！,[],未来福利预告，无候选人能力要求
571-s0003,lock80,locked,应届生招聘,,不要看底薪，要凭自己的实力拿高提成；,[],招聘鼓动话术，无明确能力要求
578-s0007,lock80,locked,应届生招聘,,2、大学本科以上学历，英语较好，有国外留学经验者优先，优秀应届毕业生可接受；,"[{""text"": ""大学本科以上学历"", ""type"": ""K""}, {""text"": ""英语较好"", ""type"": ""L""}]",删掉留学经验
602-s0013,lock80,locked,应届生招聘,, 岗位要求： 1、普通高校全日制本科及以上学历市场营销、工商管理、计算机等相关专业优先；,"[{""text"": ""普通高校全日制本科及以上学历"", ""type"": ""K""}, {""text"": ""市场营销、工商管理、计算机等相关专业"", ""type"": ""K""}]",学历专业属于知识学历K
606-s0000,lock80,locked,应届生招聘,,在线留下姓名+专业+学历+年龄+联系电话——————即可获得本公司人事部电话面试邀约！,[],投递报名指引，属于报名流程，无候选人能力要求
67-s0018,lock80,locked,应届生招聘,,工作时间：8：30-12：00;,[],工作时间说明，无候选人能力要求
741-s0001,lock80,locked,应届生招聘,,四平集团通过完善的培训体系和晋升机制，为每一位走进四平的优秀毕业生提供了一个良好的职业发展平台及创业机会。,[],公司发展平台宣传，无候选人能力要求
747-s0012,lock80,locked,应届生招聘,, &nbsp;,[],空文本，无能力要求
749-s0000,lock80,locked,应届生招聘,,岗位描述 1.负责公司平台本地医生的开发工作，快速找到意向客户，再通过电话或者微信面访约见客户，为客户解决疑难问题，达成合作意愿。,"[{""text"": ""负责公司平台本地医生的开发工作，快速找到意向客户，再通过电话或者微信面访约见客户，为客户解决疑难问题，达成合作意愿"", ""type"": ""S""}]",客户开发、约见、问题处理促成合作属于业务实操S
822-s0004,lock80,locked,应届生招聘,, 5、与公司各部门保持良好的沟通，保证工作的顺利进行；,"[{""text"": ""与公司各部门保持良好的沟通，保证工作的顺利进行"", ""type"": ""T""}]",跨部门沟通属于软技能T
822-s0009,lock80,locked,应届生招聘,, 2、熟悉办公室行政管理知识及工作流程，熟练运用OFFICE等办公软件；,"[{""text"": ""熟悉办公室行政管理知识及工作流程"", ""type"": ""K""}, {""text"": ""熟练运用OFFICE等办公软件"", ""type"": ""S""}]",行政知识流程为K，办公软件使用属于S
827-s0007,lock80,locked,应届生招聘,, 3、公司每月一次员工专属生日趴，水果蛋糕和节日礼物；,[],员工福利描述，无候选人能力要求
829-s0000,lock80,locked,应届生招聘,,"岗位职责1负责客户的接待、咨询工作,为顾客提供优秀的置业咨询服务2了解客户需求,提供合适房源,进行商务谈判3陪同客户看房,促成房屋买卖业务成交4与客户建立良好的联系，熟悉及挖掘客户需求5负责公司房源开发与积累,并与业主建立良好的业务协作关系任职资格1懂计算机操作，普通话标准，热爱销售和房地产行业，具有良好的团队合作精神，勇于挑战高薪，有无经验均可，公司提供全方位的专业培训。","[{""text"": ""负责客户的接待、咨询工作,为顾客提供优秀的置业咨询服务"", ""type"": ""S""}, {""text"": ""了解客户需求,提供合适房源,进行商务谈判"", ""type"": ""S""}, {""text"": ""陪同客户看房,促成房屋买卖业务成交"", ""type"": ""S""}, {""text"": ""与客户建立良好的联系，熟悉及挖掘客户需求"", ""type"": ""S""}, {""text"": ""负责公司房源开发与积累,并与业主建立良好的业务协作关系"", ""type"": ""S""}, {""text"": ""懂计算机操作"", ""type"": ""S""}, {""text"": ""普通话标准"", ""type"": ""L""}, {""text"": ""热爱销售和房地产行业"", ""type"": ""T""}, {""text"": ""具有良好的团队合作精神"", ""type"": ""T""}]",删掉勇于挑战高薪
877-s0006,lock80,locked,应届生招聘,,（5%） -对客户整体满意度，工具和流程提供一直的反馈。,"[{""text"": ""对客户整体满意度，工具和流程提供一直的反馈"", ""type"": ""S""}]",收集输出客户反馈属于执行技能S
90-s0012,lock80,locked,应届生招聘,,5、性格开朗，为人正直，工作积极主动，对外协调、沟通能力强，能承受一定工作压力；,"[{""text"": ""性格开朗，为人正直，工作积极主动，对外协调、沟通能力强，能承受一定工作压力"", ""type"": ""T""}]",性格、主动性、沟通抗压属于软技能特质T
905-s0002,lock80,locked,应届生招聘,empty_welfare," 3、责任心强，爱岗敬业，有团队精神 4、18-30岁，超龄勿扰 福利待遇： 1.转正薪资4000以上+绩效+餐费补贴+双休年底分红 2、五险一金 3、入职后签订劳动就业合同，五险一金+双休法定假日,有良好的 晋升空间 4、全体员工除享受以上福利待遇外还将享受带薪年假、病假、婚假、丧假、产假等国 家法定节假日。","[{""text"": ""责任心强，爱岗敬业，有团队精神"", ""type"": ""T""}]",责任心、敬业、团队精神属于态度特质T
934-s0007,lock80,locked,应届生招聘,,3、普通话流利、口齿清晰、性格外向、反应敏捷、表达能力强，具有较强的沟通能力及交际,"[{""text"": ""普通话流利、口齿清晰"", ""type"": ""L""}, {""text"": ""性格外向、反应敏捷、表达能力强，具有较强的沟通能力及交际"", ""type"": ""T""}]",普通话为语种L，性格反应沟通交际属于软技能T
956-s0005,lock80,locked,应届生招聘,, 6、下发会议通知，布置会议室；,"[{""text"": ""下发会议通知，布置会议室"", ""type"": ""S""}]",会务操作属于执行技能S
96-s0001,lock80,locked,应届生招聘,,2、采购类工作为采购资质文书工作，要求基础电脑办公，细心耐心；,"[{""text"": ""基础电脑办公"", ""type"": ""S""}, {""text"": ""细心耐心"", ""type"": ""T""}]",电脑办公属于实操S，细心耐心属于特质态度T
182-s0003,train300,todo,应届生招聘,, 4、熟悉电脑操作及办公软件（word excel等）；,,
1519-s0010,train300,todo,人工智能招聘,,想掌控云计算的未来吗？,,
526-s0008,train300,todo,应届生招聘,,晋升空间业绩突出并具有管理能力者可升为组长、销售主管、平台经理等；,,
229-s0012,train300,todo,应届生招聘,empty_welfare," 福利待遇 股票期权,年终分红,交通补助,午餐补助,带薪年假,绩效奖金,弹性工作,扁平管理",,
9-s0001,train300,todo,应届生招聘,,2.本科以上，机械电子专业或外语专业；,,
92-s0003,train300,todo,应届生招聘,,二、福利方面：1、本公司订单充足无淡旺季之分生产常年稳定2、全员享有带薪法定假日及年休假、社保福利和劳动合同权利3、工资每月15日准时以银行卡方式发放自建厂以来从未拖欠工资4、时制为:办公人员五天半、生产人员六天制两种加班比例均按法定计算5、常有公开的内聘机会、提拔机制及技能培训为你提供广阔的个人发展空间6、炎热季节均免费提供五花凉茶或降温解暑糖水特殊岗位享有高温补贴7、公司设有篮球场、羽毛球等娱乐场地每年都有大型联欢晚会及抽奖活动8、满一年双职工公司免费提供配齐电器及餐桌椅的带厨卫的单套房，但水电费自理9、宿舍分为两房两厅带厨卫，一房一厅带厨卫，单套房带厨卫，单人间两人间，四人间及八人间，每一间宿舍均配有:空调、彩电、电热水器等电器三、应聘须知：1、为了优先收到您的邮件，主题请填写：应聘职位：XXX求职者：XXX2、应聘时间：本公司招聘时间，上午9:0011:00下午2:004:003、详细资料请进入本公司网址了解情况,,
1295-s0007,train300,todo,人工智能招聘,,3.熟悉C/C++开发，有较强的算法实现能力，具有良好的代码质量和风格；,,
983-s0010,train300,todo,人工智能招聘,,3.具有强烈的求知欲，工作态度积极主动；,,
1417-s0004,train300,todo,人工智能招聘,,任职要求：1.熟练使用PHP/Python/Golang/Java/C++等一种或者以上语言。,,
215-s0008,train300,todo,应届生招聘,, 岗位要求 1、负责货物装卸和搬运工作;,,
1086-s0002,train300,todo,人工智能招聘,,3、完成领导交办的其他工作。,,
1014-s0092,train300,todo,人工智能招聘,,很多开淘宝店的卖家，还不如做淘宝客赚钱；,,
130-s0007,train300,todo,应届生招聘,, 4、会应用各种视频剪辑软件者优先考虑；,,
1471-s0007,train300,todo,人工智能招聘,,4、意志坚定，刚正不阿。,,
92-s0002,train300,todo,应届生招聘,empty_welfare,2、工作仔细认真、责任心强福利待遇：五天半工作制，购买五险一金，包住；,,
1455-s0003,train300,todo,人工智能招聘,,4、解决方案：负责输出数据产品的业务解决方案，并推动解决方案的落地应用；,,
234-s0006,train300,todo,应届生招聘,,7、协助展会准备工作。,,
16-s0009,train300,todo,应届生招聘,empty_welfare,4.上班时间：上午9:00-12:30.下午14:00-19:00(单双休)欢迎应届毕业生同样享有公司正式员工晋升机会；,,
1328-s0021,train300,todo,人工智能招聘,empty_welfare,6.极具竞争力的薪水，福利待遇好，出国工作、学习和交流机会多。,,
980-s0000,train300,todo,人工智能招聘,,赛舵科技是一家提供人工智能技术服务的初创企业，目前专注于全球市场的智能语音语义业务。,,
1264-s0005,train300,todo,人工智能招聘,,熟悉ISO20000、ISO27001、ISO9001、COBIT、等级保护等相关标准；,,
1155-s0005,train300,todo,人工智能招聘,, 6、负责各项目、部门和技术领域的合作协调。,,
1553-s0024,train300,todo,人工智能招聘,, 伙伴与文化 北京财务伙伴多来自不同的大型互联网或500强企业，公司重视员工的个人成长，不仅为员工设计专业和管理的双通道职业发展路径，也让每个人的成长贡献能够通过职级体系得到及时明确的体现。,,
1491-s0003,train300,todo,人工智能招聘,,4、管理维护客户关系以及客户间的长期战略合作计划。,,
78-s0011,train300,todo,应届生招聘,, 公司网址：http://www.gzredian.com 来自：马 克 团 队,,
698-s0001,train300,todo,应届生招聘,,职位描述：面对南京所有大中小企业；,,
67-s0015,train300,todo,应届生招聘,,注：以上特征如果你确实都具备，或者你能够对不足的地方做出调整，那么请尽快联系我们，我们随时欢迎你的加入。,,
820-s0005,train300,todo,应届生招聘,, 岗位职责： 1、推广公司产品，协助客户完成POS机激活。,,
757-s0002,train300,todo,应届生招聘,,3、完成招聘数据日常的更新、维护；,,
213-s0000,train300,todo,应届生招聘,,崇福甜豆豆艺术培训中心诚招早教老师 本机构致力于2-16岁孩子的艺术教育.现诚聘早教教师1名（女），兼职教师1名.要求如下： ●能力要求： 有亲和力，有与1到3岁幼儿沟通的能力.善于早教教学. ●岗位职责： 能够把握好课堂的进度及氛围，课前做好上课计划，课后做好和家长的沟通交流。,,
763-s0029,train300,todo,应届生招聘,,705；,,
495-s0019,train300,todo,应届生招聘,,公司以房地产三级市场买卖、租赁、贷款、评估等中介业务及一手楼盘代理为主营业务。,,
700-s0013,train300,todo,应届生招聘,,具备处理问题、安排进展、跟进进程、沟通及疑难问题服务的意识跟能力；,,
585-s0011,train300,todo,应届生招聘,,4、在职期间表现优秀，且工龄满2年可晋升为公司合伙人并享有公司分红、股份。,,
1139-s0047,train300,todo,人工智能招聘,,我们不做平庸的公司，也不要平庸的员工。,,
1431-s0010,train300,todo,人工智能招聘,,注：投递时请附上作品集。,,
562-s0031,train300,todo,应届生招聘,,7、节日礼品+户外拓展+公司聚餐+旅游,,
1121-s0001,train300,todo,人工智能招聘,, 职位要求：计算机、通信、软件工程、网络安全、信息系统、自动化、电子信息、控制工程、模式识别、数学等相关、相近专业。,,
633-s0003,train300,todo,应届生招聘,, 4) 负责为理事提供送药服务；,,
342-s0005,train300,todo,应届生招聘,,6、能够利用多种技术形式提升网站人气。,,
730-s0009,train300,todo,应届生招聘,,6、收集相关报表核对差异，确保账单准确无误。,,
148-s0001,train300,todo,应届生招聘,, 2. 根据公司现行渠道开发客户与房源；,,
530-s0001,train300,todo,应届生招聘,,2.负责公司工商登记、变更、年检相关手续办理，公司各类资质的办理、年审等；,,
988-s0004,train300,todo,人工智能招聘,, 具备良好的沟通与表达能力，具有良好的文档写作能力；,,
1223-s0006,train300,todo,人工智能招聘,,2、熟悉数据分析工具，具有较强的数据敏感度，能够熟练运用定性、定量研究方法，擅长数据分析及挖掘。,,
316-s0008,train300,todo,应届生招聘,, 网咖员工职业发展规划:员工——训练员——值班经理——店长——区域经理岗位要求：热爱你从事的行业、对工作严谨认真、性格乐观、开朗、热情、上进心并勇于挑战。,,
966-s0009,train300,todo,应届生招聘,,4、公平透明的晋升渠道，任人唯贤；,,
301-s0004,train300,todo,应届生招聘,,2、具有亲和力，良好的语言表达与沟通能力;,,
1101-s0002,train300,todo,人工智能招聘,,如果你喜欢娱乐，请联系我们，每月团队集体活动，聚餐K歌踏踏青，生活越活越年轻。,,
202-s0002,train300,todo,应届生招聘,, 3、品德端正、敬业、责任心强且具有良好的职业操守；,,
1101-s0000,train300,todo,人工智能招聘,,如果你喜欢旅游，请联系我们，每年每季度公司免费国内国外旅游方案给你提供。,,
