id,domain,review_bucket,status,codex,doubao,kimi,sentence
1803-s0011,人工智能招聘,three_agree,agree_empty,[],[],[],8）外部培训经费9）年假：工作满1年享有带薪年假5天，工作满半年享有带薪年假3天10）享受工龄工资11）绩效奖：每月绩效奖励12）年终奖：按当年工作时间和工作绩效为标准发放年终奖13)加班补助其他提高团队幸福感、积极性、凝聚力的措施及福利，有待完善。
1804-s0000,人工智能招聘,three_agree,agree_spans,量化分析/K | 统计学习/K | 机器学习/K | 深度强化学习/K | 运筹优化/K,量化分析/K | 统计学习/K | 机器学习/K | 深度强化学习/K | 运筹优化/K,量化分析/K | 统计学习/K | 机器学习/K | 深度强化学习/K | 运筹优化/K,京东商城-Y事业部-供应链收益管理研发部团队诚招量化分析领域的专家，包括统计学习、机器学习、深度强化学习和运筹优化方向。
1804-s0002,人工智能招聘,three_agree,agree_spans,统计学习/K | 优化算法/K | 商业分析/K | 计算机/K,统计学习/K | 优化算法/K | 商业分析/K | 计算机/K,统计学习/K | 优化算法/K | 商业分析/K | 计算机/K, 我们团队背靠京东强大的营销、数据与软件硬件平台等资源支持，在统计学习、优化算法、商业分析及计算机方面拥有丰富经验。
1804-s0012,人工智能招聘,three_agree,agree_spans,分析/S | 预测/S | 优化/S,分析/S | 预测/S | 优化/S,分析/S | 预测/S | 优化/S,在分析、预测、优化方向有实际应用经历。
1804-s0014,人工智能招聘,three_agree,agree_spans,机器学习/K | 预测模型/K | logistic regression/K | 神经网络/K | SVM/K | 决策树/K,机器学习/K | 预测模型/K | logistic regression/K | 神经网络/K | SVM/K | 决策树/K,机器学习/K | 预测模型/K | logistic regression/K | 神经网络/K | SVM/K | 决策树/K, 2. 精通机器学习中的预测模型，如logistic regression、 神经网络、SVM及决策树等。
1806-s0002,人工智能招聘,three_agree,agree_spans,设计/S | 编码/S | 集成/S | 单元测试/S,设计/S | 编码/S | 集成/S | 单元测试/S,设计/S | 编码/S | 集成/S | 单元测试/S, 3 工作范畴包括但不限于：设计、编码、集成及单元测试；
1806-s0006,人工智能招聘,three_agree,agree_spans,GPU编程/S,GPU编程/S,GPU编程/S, 3 有GPU编程经验者优先；
1806-s0008,人工智能招聘,three_agree,agree_empty,[],[],[], Boss 李欢 8k16k 诚聘
1807-s0004,人工智能招聘,three_agree,agree_spans,大专及以上学历/K,大专及以上学历/K,大专及以上学历/K,任职要求：1、大专及以上学历；
1808-s0007,人工智能招聘,three_agree,agree_spans,spring/S | mybatis/S | redis/S | mq/S,spring/S | mybatis/S | redis/S | mq/S,spring/S | mybatis/S | redis/S | mq/S, 5、了解spring、mybatis、redis、mq等框架及其原理实现；
1809-s0007,人工智能招聘,three_agree,agree_spans,执行能力/T | 时间管理能力/T | 自我驱动能力/T,执行能力/T | 时间管理能力/T | 自我驱动能力/T,执行能力/T | 时间管理能力/T | 自我驱动能力/T, 4. 有较强的执行能力、时间管理能力、自我驱动能力。
1811-s0008,人工智能招聘,three_agree,agree_empty,[],[],[]," 福利待遇 扁平管理,弹性工作,大厨定制三餐,就近租房补贴,六险一金,股票期权,成长空间大,双线地铁沿线,mac办公"
1813-s0003,人工智能招聘,three_agree,agree_empty,[],[],[],2广阔的晋升空间：公司处于留学这个朝阳行业，为每位员工提供广阔的晋升空间，在这里，每位员工享有五级双通道的晋升体系！
1813-s0004,人工智能招聘,three_agree,agree_empty,[],[],[],我们采用管理级别和专业级别双通道的职业发展机制，不论你是专家型人才还是管理型人才都能在百利天下教育集团找到自己的晋升平台
1814-s0008,人工智能招聘,three_agree,agree_spans,本科及以上学历/K,本科及以上学历/K,本科及以上学历/K, 任职要求： 1、本科及以上学历，35岁以内；
1814-s0014,人工智能招聘,three_agree,agree_empty,[],[],[], 待遇：25-40w，看业绩情况。
1814-s0015,人工智能招聘,three_agree,agree_empty,[],[],[],社保公积金按实际工资全额缴纳 马 克 数 据 网
1815-s0005,人工智能招聘,three_agree,agree_empty,[],[],[],睿家科技值得加入的理由：1.公司简介：北京睿家科技有限公司，成立于2014年，以物联网与人工智能为基础，是一家高科技智能安防服务提供商。
1815-s0007,人工智能招聘,three_agree,agree_empty,[],[],[],2.公司产品：目前上线产品包含“睿视”智慧门禁系统、“睿安”智慧立柱系统、“睿家”智慧安防系统和“睿镜”智慧AR系统等四大产品线。
1815-s0009,人工智能招聘,three_agree,agree_empty,[],[],[],4.薪资福利：富有竞争性的薪资水平，重要岗位配备期权股份。
1815-s0010,人工智能招聘,three_agree,agree_empty,[],[],[],5.弹性上班：9:00-18:00、9:30-18:30或10:00-19:00。
1815-s0011,人工智能招聘,three_agree,agree_empty,[],[],[],6.办公条件：全员使用德国进口健康环保家具，无甲醛和各种异味。
1815-s0012,人工智能招聘,three_agree,agree_empty,[],[],[],窗明几净、工位宽敞、座椅舒服。
1815-s0013,人工智能招聘,three_agree,agree_empty,[],[],[],7.交通便利：地铁周边，步行至14号线“东湖渠”站仅6分钟左右。
1815-s0014,人工智能招聘,three_agree,agree_empty,[],[],[],8.团队氛围：务实，务实，务实。
1815-s0015,人工智能招聘,three_agree,agree_empty,[],[],[],有魄力的领导，战斗力强的团队，简单纯粹的人际关系。
1815-s0016,人工智能招聘,three_agree,agree_empty,[],[],[]," 福利待遇 周末双休,五险一金"
1816-s0008,人工智能招聘,three_agree,agree_empty,[],[],[],4.最好全职，实习生每周至少工作4天。
1816-s0009,人工智能招聘,three_agree,agree_empty,[],[],[],你能获得:------------1.钱。
1816-s0010,人工智能招聘,three_agree,agree_empty,[],[],[],3K~6K实习工资2.福利：水果零食咖啡茶管够。
1818-s0008,人工智能招聘,three_agree,agree_empty,[],[],[], 微信公众号马克数据网
1819-s0001,人工智能招聘,three_agree,agree_spans,交互原型设计/S | 交互设计/S,交互原型设计/S | 交互设计/S,交互原型设计/S | 交互设计/S, 2.交互原型设计：在有限资源内提供合理的交互设计解决方案，平衡业务目的和用户体验。
1820-s0009,人工智能招聘,three_agree,agree_empty,[],[],[]," ,Boss Rock 25k-35k 诚聘"
1823-s0005,人工智能招聘,three_agree,agree_spans,html/S | CSS/S | javascript/S,html/S | CSS/S | javascript/S,html/S | CSS/S | javascript/S,3、熟悉html，CSS，javascript；
1823-s0010,人工智能招聘,three_agree,agree_empty,[],[],[],8、工作经验2年以上
1824-s0010,人工智能招聘,three_agree,agree_empty,[],[],[],"福利待遇股票期权,带薪年假,绩效奖金,定期体检,通讯津贴,年终分红,五险一金,交通补助"
1827-s0003,人工智能招聘,three_agree,agree_empty,[],[],[], 4、负责数据和业务的紧密集合。
1827-s0009,人工智能招聘,three_agree,agree_spans,机器学习/K | 自然语言处理/K,机器学习/K | 自然语言处理/K,机器学习/K | 自然语言处理/K, 6、具备将机器学习与自然语言处理的理论转化为实践的能力；
1827-s0012,人工智能招聘,three_agree,agree_empty,[],[],[], 薪酬福利： 1、提供有竞争力的薪资，执行相对公平合理的绩效政策和薪酬结构；
1827-s0013,人工智能招聘,three_agree,agree_empty,[],[],[], 2、其他福利：美味三餐、各种补贴、生日和节日福利、年休、优秀员工出国旅游等；
1827-s0014,人工智能招聘,three_agree,agree_empty,[],[],[], 3、作息时间：每天八小时工作制（9:0018:00，午休1小时），双休国家法定节假日。
1828-s0003,人工智能招聘,three_agree,agree_empty,[],[],[],4.2年以上工作经验 （macrodatas.cn） （来 自 马 克 数 据 网）
1829-s0006,人工智能招聘,three_agree,agree_empty,[],[],[], 7. 积极完成其它临时性工作；
1829-s0008,人工智能招聘,three_agree,agree_empty,[],[],[],外资银行、国内银行理财；
1829-s0009,人工智能招聘,three_agree,agree_empty,[],[],[],移民或留学；
1829-s0010,人工智能招聘,three_agree,agree_empty,[],[],[],奢侈品等行业经验优先考虑）；
1829-s0011,人工智能招聘,three_agree,agree_empty,[],[],[],相对应国家海归优先考虑；
1829-s0015,人工智能招聘,three_agree,agree_empty,[],[],[],对于优秀实习生可放宽条件。
1829-s0017,人工智能招聘,three_agree,agree_empty,[],[],[],迄今为止，已经与海外100多家顶级房地产开发商建立了长期战略联盟关系，并与海外各大银行、知名律师行建立了紧密合作关系。
1829-s0018,人工智能招聘,three_agree,agree_empty,[],[],[], 未来，公司将继续围绕客户需求，为高端客户提供专业的海外房产、高端旅游、移民及财富管理一站式尊贵VIP服务。
1831-s0006,人工智能招聘,three_agree,agree_empty,[],[],[],2、有IT、ICT、IOT、互联网等企业工作经验，大中型企业COT/CIO等岗位的工作经历;
1831-s0007,人工智能招聘,three_agree,agree_spans,移动互联网/K | 物联网/K,移动互联网/K | 物联网/K,移动互联网/K | 物联网/K,3、对移动互联网、物联网行业现状和发展趋势有深刻理解;
1832-s0003,人工智能招聘,three_agree,agree_empty,[],[],[],4、配合部门负责人完成其他指定工作。
1833-s0000,人工智能招聘,three_agree,agree_empty,[],[],[],阿里巴巴达摩院 机器智能技术 云小蜜智能对话组，面向在校生提供实习机会。
1833-s0005,人工智能招聘,three_agree,agree_spans,计算机专业/K | 博士/K,计算机专业/K | 博士/K,计算机专业/K | 博士/K, 4.计算机专业、博士实习生优先。
1835-s0000,人工智能招聘,three_agree,agree_empty,[],[],[],职位描述： 1、优化财经 内容的排序，提升用户发布内容的转化率；
1835-s0006,人工智能招聘,three_agree,agree_empty,[],[],[], 3、2 年以上工作经验；
1836-s0018,人工智能招聘,three_agree,agree_empty,[],[],[],能接受出差及加班；
1837-s0000,人工智能招聘,three_agree,agree_empty,[],[],[],百度搜索马 克 数 据 网 刷脸支付全程扶持简介：刷脸支付——一个赚钱如流水的项目！
1837-s0001,人工智能招聘,three_agree,agree_empty,[],[],[],——有人说：花钱如流水。
1837-s0002,人工智能招聘,three_agree,agree_empty,[],[],[],刷脸智能支付赚钱如流水！
1837-s0004,人工智能招聘,three_agree,agree_empty,[],[],[],不用带手机，不需要扫二维码，一张脸即可走遍天下。
1837-s0005,人工智能招聘,three_agree,agree_empty,[],[],[],此外，对于不熟练使用智能手机的中老年人来说，刷脸支付简直不要太方便了。
1837-s0006,人工智能招聘,three_agree,agree_empty,[],[],[],二、流水不停，分润不止简言意赅的说，我们这个项目就是开拓商家，制造流水；
1837-s0007,人工智能招聘,three_agree,agree_empty,[],[],[],流水越多，分润也就越多。
1837-s0008,人工智能招聘,three_agree,agree_empty,[],[],[],并且是长期性的，只需要做几个月，那么就可以坐在家里等着分润！
1837-s0009,人工智能招聘,three_agree,agree_empty,[],[],[],有商家就有市场，有市场就有流水，有流水就能赚钱！
1837-s0010,人工智能招聘,three_agree,agree_empty,[],[],[],流水不停，分润不止！
1837-s0012,人工智能招聘,three_agree,agree_empty,[],[],[],2、例如：1个商户1天收入3000元，1个月30天=9万元。
1837-s0013,人工智能招聘,three_agree,agree_empty,[],[],[],1年12个月=108万。
1837-s0014,人工智能招聘,three_agree,agree_empty,[],[],[],3、108万*720个商户=777600000元商户每1万元我们能赚到16元，总收入为1244160元每年。
1837-s0015,人工智能招聘,three_agree,agree_empty,[],[],[],4、质疑：商户每个月收款未必有这么多，只能按7折计算，另外商户成交比例需下调，只能按7折计算。
1837-s0016,人工智能招聘,three_agree,agree_empty,[],[],[],7折124万=860000元。
1837-s0017,人工智能招聘,three_agree,agree_empty,[],[],[],商户每1万，我们能拿到16元，预计年收入860000元！
1837-s0018,人工智能招聘,three_agree,agree_empty,[],[],[],有些人说你这个是不是理想化状态？
1837-s0019,人工智能招聘,three_agree,agree_empty,[],[],[],举例中的数据完全是平均值?
1837-s0020,人工智能招聘,three_agree,agree_empty,[],[],[],中小店的数据那么如果我们招收几个业务员或者兼职又会是多少？
1837-s0021,人工智能招聘,three_agree,agree_empty,[],[],[],在自己直营的同时再发展几个合伙人又会是多少？
1837-s0023,人工智能招聘,three_agree,agree_empty,[],[],[],秉承“实体店流量共享”的商业模式，聚合线下实体店，帮助实体店降本增效，刷脸支付帮助企业提升管理，提升团队执行力，提升销售业绩工作时间每周一至周五，周末休息
1840-s0005,人工智能招聘,three_agree,agree_empty,[],[],[],岗位 （来 自 马 克 数 据 网）
1841-s0011,人工智能招聘,three_agree,agree_empty,[],[],[],工作地点：广州。
1841-s0012,人工智能招聘,three_agree,agree_empty,[],[],[], 薪资：底薪+提成 公司福利： 1、周末双休，5天7.5小时工作制，享受带薪年假和国家各类法定节假日；
1841-s0013,人工智能招聘,three_agree,agree_empty,[],[],[], 2、上班时间：9：00－12：00 13：30－18：00；
1841-s0014,人工智能招聘,three_agree,agree_empty,[],[],[], 3、为员工购买五险一金，另享有补充商业险；
1841-s0015,人工智能招聘,three_agree,agree_empty,[],[],[], 4、每年享有健康体检福利；
1841-s0016,人工智能招聘,three_agree,agree_empty,[],[],[], 5、不定期组织员工旅游活动或文体活动；
1841-s0017,人工智能招聘,three_agree,agree_empty,[],[],[], 6、享有节日礼金、公司关怀等福利；
1841-s0018,人工智能招聘,three_agree,agree_empty,[],[],[], 7、舒适的办公环境，创意园独幢工作园区，独具格调和氛围的外围环境；
1841-s0020,人工智能招聘,three_agree,agree_empty,[],[],[], 9、不定期安排下午茶时间；
1841-s0021,人工智能招聘,three_agree,agree_empty,[],[],[], 10、每个月组织员工生日会，享有生日礼金福利；
1841-s0022,人工智能招聘,three_agree,agree_empty,[],[],[], 11、享有学历补贴+工作餐补贴+通讯费补贴+工龄补贴+绩效资金；
1841-s0023,人工智能招聘,three_agree,agree_empty,[],[],[], 12、每年年会奖品丰厚，年底绩效双薪/年终奖；
1841-s0025,人工智能招聘,three_agree,agree_empty,[],[],[]," ……更多福利，持续完善 ,Boss leewan 4k-6k 诚聘"
1843-s0009,人工智能招聘,three_agree,agree_empty,[],[],[],。
1843-s0010,人工智能招聘,three_agree,agree_empty,[],[],[],关注公众号马 克 数 据 网
1844-s0001,人工智能招聘,three_agree,agree_empty,[],[],[], - 了解市场需求，定义产品功能和路线图。
1844-s0004,人工智能招聘,three_agree,agree_empty,[],[],[], - 跟踪产品的市场表现，持续优化产品。
1845-s0002,人工智能招聘,three_agree,agree_empty,[],[],[], 3、团队建设：负责教研团队的建设、培养和管理工作，保证团队健康向上发展；
1845-s0014,人工智能招聘,three_agree,agree_empty,[],[],[], 2、高级合伙人在职分红权（岗位分红）。
1845-s0015,人工智能招聘,three_agree,agree_empty,[],[],[], 3、高级合伙人创业股票期权（核心股东）。
1845-s0016,人工智能招聘,three_agree,agree_empty,[],[],[], 欢迎想拼搏创业的您，加入记忆王，一起来创业吧 （macrodatas.cn） （来 自 马 克 数 据 网）
1846-s0000,人工智能招聘,three_agree,agree_empty,[],[],[],公司技术导向，研发团队占80%以上公司。
1846-s0001,人工智能招聘,three_agree,agree_empty,[],[],[],团队崇尚工程师文化，既有数据&amp;
1846-s0002,人工智能招聘,three_agree,agree_empty,[],[],[],amp;
1846-s0003,人工智能招聘,three_agree,agree_empty,[],[],[],amp;
1846-s0006,人工智能招聘,three_agree,agree_empty,[],[],[], o 在这里，既有经验丰富的架构师，也有潜力无限的新人，同时也继承了技术团队传承多年的工程师文化和技术氛围。
1846-s0016,人工智能招聘,three_agree,agree_empty,[],[],[],下一个百亿美元的机会，就在这里，等你加入！
1846-s0017,人工智能招聘,three_agree,agree_empty,[],[],[], 公司坐标：中关村soho（地铁四号线／十号线，交通便利） www.ishumei.com
1847-s0008,人工智能招聘,three_agree,agree_empty,[],[],[],", 公司地址: 杭州市西湖区文二路391号西湖国际科技大厦B3-204"
1849-s0000,人工智能招聘,three_agree,agree_empty,[],[],[],公司目前下设个人业务部、公司业务部、资金部等业务板块。
1851-s0002,人工智能招聘,three_agree,agree_empty,[],[],[], 3、严格遵守公司和部门的制度规范，认真完成上级安排的其他工作。
1851-s0006,人工智能招聘,three_agree,agree_empty,[],[],[], 4、能承受一定程度的加班。
1851-s0007,人工智能招聘,three_agree,agree_empty,[],[],[], 更多详情，请浏览厦门人才网（www.xmrc.com.cn）
1852-s0004,人工智能招聘,three_agree,agree_empty,[],[],[],欢迎优秀应届毕业生投递简历。
1852-s0010,人工智能招聘,three_agree,agree_empty,[],[],[], 薪资福利 （一）薪酬待遇 基本工资：为员工提供在行业内具有竞争力的薪酬待遇；
1852-s0011,人工智能招聘,three_agree,agree_empty,[],[],[], 绩效奖金：根据岗位性质及个人工作表现进行绩效考核确定；
1852-s0012,人工智能招聘,three_agree,agree_empty,[],[],[], 年终奖金：根据年度绩效考核结果综合确定；
1852-s0013,人工智能招聘,three_agree,agree_empty,[],[],[], 项目奖金：根据项目达成状况发放；
1852-s0014,人工智能招聘,three_agree,agree_empty,[],[],[], （二）福利体系 工作时间：弹性上下班时间，创业阶段周六上午10:00需要开部门会议，其余假期时间个人灵活安排；
1852-s0015,人工智能招聘,three_agree,agree_empty,[],[],[], 假期安排：依法享受国家法定节假日；
1852-s0016,人工智能招聘,three_agree,agree_empty,[],[],[], 五险一金：入职即购买五险一金；
1852-s0017,人工智能招聘,three_agree,agree_empty,[],[],[], 我们还有：交通补贴、餐费补贴、定期体检、节假日福利、员工活动；
1852-s0019,人工智能招聘,three_agree,agree_empty,[],[],[], 2、清华研究团队背景，众多技术大牛深度接触，丰富个人的技术维度；
1852-s0020,人工智能招聘,three_agree,agree_empty,[],[],[], 3、行业资深人员指导，强化个人的技术深度；
1855-s0000,人工智能招聘,three_agree,agree_empty,[],[],[],（macrodatas.cn） （来 自 马 克 数 据 网） 。
1855-s0005,人工智能招聘,three_agree,agree_empty,[],[],[],2年以上相关工作经验；
1855-s0014,人工智能招聘,three_agree,agree_spans,模式识别/K | 图像处理/K | 计算机视觉/K,模式识别/K | 图像处理/K | 计算机视觉/K,模式识别/K | 图像处理/K | 计算机视觉/K,对模式识别、图像处理以及计算机视觉有较深入的理解与认识等。
1855-s0015,人工智能招聘,three_agree,agree_empty,[],[],[],", 高薪诚聘"
1856-s0001,人工智能招聘,three_agree,agree_empty,[],[],[],（来 自 马 克 数 据 网）
1858-s0000,人工智能招聘,three_agree,agree_empty,[],[],[],[这里是一家IT行业前三的上市企业。
1858-s0006,人工智能招聘,three_agree,agree_empty,[],[],[],确保销售目标的实现。
1858-s0007,人工智能招聘,three_agree,agree_spans,理工类专业/K | 本科及以上学历/K,理工类专业/K | 本科及以上学历/K,理工类专业/K | 本科及以上学历/K, 【岗位要求】 1、理工类专业，本科及以上学历，招收16-18届毕业生，优秀者适当放宽招聘要求；
1858-s0016,人工智能招聘,three_agree,agree_empty,[],[],[],]。
1858-s0017,人工智能招聘,three_agree,agree_empty,[],[],[],搜索马 克 数 据 网
1861-s0005,人工智能招聘,three_agree,agree_spans,本科及以上学历/K,本科及以上学历/K,本科及以上学历/K,任职要求：1、本科及以上学历，专业不限。
1862-s0002,人工智能招聘,three_agree,agree_empty,[],[],[], 公司的客户群体以国企、央企为主。
1862-s0003,人工智能招聘,three_agree,agree_empty,[],[],[],订单充沛且已经形成一定规模的营收。
1862-s0004,人工智能招聘,three_agree,agree_empty,[],[],[], 目前公司处于上升期，团队正在扩充中，欢迎志同道合的优秀小伙伴加入。
1862-s0009,人工智能招聘,three_agree,agree_spans,Python/S | C++/S,Python/S | C++/S,Python/S | C++/S, 2.熟练掌握Python或C++，具有3年以上工作经验；
1865-s0003,人工智能招聘,three_agree,agree_empty,[],[],[],", 公司地址: 广州市天河区天河北路358-368号都市华庭星逸轩29c"
1866-s0010,人工智能招聘,three_agree,agree_empty,[],[],[], 微信公众号马克数据网
1867-s0001,人工智能招聘,three_agree,agree_empty,[],[],[],2.工作经验：5年以上相关工作经验。
1867-s0007,人工智能招聘,three_agree,agree_empty,[],[],[],2.负责应用系统及备份系统的维护管理；
1867-s0010,人工智能招聘,three_agree,agree_empty,[],[],[],请勿投递无忧简历及个人简历，更多招聘详情请访问以下地址：http:www.cdmetro.cnhtmlinfo2016033756.html进行了解并按要求投递简历报名。
1867-s0011,人工智能招聘,three_agree,agree_empty,[],[],[],。
1867-s0012,人工智能招聘,three_agree,agree_empty,[],[],[], （更多数据，详见马克数据网）
1868-s0001,人工智能招聘,three_agree,agree_spans,数据分析/S,数据分析/S,数据分析/S,2、通过获取市场/行业/竟对信息，利用数据分析和解读的能力，对业务做出合理的判断和趋势性的预判；
1868-s0002,人工智能招聘,three_agree,agree_empty,[],[],[],3、捕捉市场环境变化和竞品动态，通过产品、市场、竞品等多维度分析，将市场、用户、竞品、行业需求及变化等外部信息，系统性输入给相关团队；
1868-s0003,人工智能招聘,three_agree,agree_empty,[],[],[],4、作为公司对外发言人，负责产品等宣讲工作。
1868-s0007,人工智能招聘,three_agree,agree_empty,[],[],[]," 福利待遇 B2B销售,精准营销,大数据,人工智能,股票期权,五险一金,带薪年假,定期体检,扁平管理"
1869-s0006,人工智能招聘,three_agree,agree_empty,[],[],[],6、能出差，不排斥偶尔的加班；
1869-s0007,人工智能招聘,three_agree,agree_empty,[],[],[]," 福利待遇 节日礼物,专项奖金,股票期权,带薪年假,年度旅游,扁平管理,交通补助,五险一金。"
1869-s0008,人工智能招聘,three_agree,agree_empty,[],[],[],微信公众号马克 数据网
1873-s0003,人工智能招聘,three_agree,agree_empty,[],[],[],任职条件：至少满足以下条件中的4条；
1873-s0011,人工智能招聘,three_agree,agree_empty,[],[],[],福利待遇：1.周末双休，法定节假日正常休息2.根据工作年限享受带薪年假3.符合要求享受300住房补贴4.享受年度13薪待遇。
1873-s0012,人工智能招聘,three_agree,agree_empty,[],[],[],关注公众号马 克 数 据 网
1874-s0002,人工智能招聘,three_agree,agree_spans,数据预测/S,数据预测/S,数据预测/S,3、数据预测，能够通过数据的积累和趋势，建立预测用户趋向和行为的模型；
1875-s0004,人工智能招聘,three_agree,agree_empty,[],[],[],", 公司地址: 下沙开发区 （来 自 马 克 数 据 网）"
1876-s0000,人工智能招聘,three_agree,agree_empty,[],[],[],汇众益智集团，致力于职业教育内容研发与人才服务。
1876-s0001,人工智能招聘,three_agree,agree_empty,[],[],[],构建产、学、研有机结合的生态系统，面向六大产业，九大项目，为合作院校、合作企业提供优质的职业教育内容和优秀人才定制服务，推动中国新兴战略产业发展！
1876-s0002,人工智能招聘,three_agree,agree_empty,[],[],[],为中国战略转型升级做出贡献！
1876-s0004,人工智能招聘,three_agree,agree_empty,[],[],[],是国家信息技术紧缺人才培养工程实施单位，是移动互联网教育联盟副理事长单位，中关村虚拟现实产业协会副会长单位，北京文化创意产业人才实训基地。
1876-s0007,人工智能招聘,three_agree,agree_empty,[],[],[],实训结束合格即可上岗工作。
1876-s0010,人工智能招聘,three_agree,agree_empty,[],[],[],实训课程时间：周1至周日，上午8：30——12：00，下午：13：30——17:30。
1876-s0013,人工智能招聘,three_agree,agree_empty,[],[],[],2、学费说明：0基础实训生培训需要岗前培训3-4个月，再转入岗位，平均薪资不低于5k。
1876-s0014,人工智能招聘,three_agree,agree_empty,[],[],[],实训费用根据实训具体内容低至5K起，可分期或申请办理助学贷款。
1876-s0016,人工智能招聘,three_agree,agree_empty,[],[],[],4、就业前景：汇众影视设计实训基地，14年培养90000多名数字娱乐精英人才，我们与国内外超过50000家游戏动漫影视企业建立战略合作，定期输送人才。
1876-s0018,人工智能招聘,three_agree,agree_empty,[],[],[],详情咨询在线客服，即可享受三天免费试学！
1877-s0011,人工智能招聘,three_agree,agree_empty,[],[],[], 马-克-数据
1878-s0003,人工智能招聘,three_agree,agree_empty,[],[],[],水果网货知名品牌。
1879-s0006,人工智能招聘,three_agree,agree_empty,[],[],[]," 福利待遇 免费班车,成长空间,年度旅游,岗位晋升,内部转岗机会,管理规范,美女多,帅哥多,影响亿万用户,五险一金,领先技术,新鲜空气,大平台,弹性工作"
1881-s0005,人工智能招聘,three_agree,agree_empty,[],[],[], 6、完成领导交代的其他工作。
1882-s0006,人工智能招聘,three_agree,agree_empty,[],[],[],有成功运营案例为佳；
1883-s0001,人工智能招聘,three_agree,agree_empty,[],[],[],房屋租赁、房屋买卖、二手房按揭贷款、不动产抵押贷款等不动产相关居间业务。
1883-s0004,人工智能招聘,three_agree,agree_empty,[],[],[],在业内享有颇高的声誉，2010年、2011年连续两年荣获“重庆市最具发展潜力房地产中介”荣誉称号，2012年荣获“重庆市十佳中介”、“重庆市最具影响力房地产经纪公司”、“重庆市最具品牌价值中介”荣誉称号。
1883-s0006,人工智能招聘,three_agree,agree_empty,[],[],[],立足西部，放眼全国是我们全体广积粮人的共同的事业梦想。
1883-s0007,人工智能招聘,three_agree,agree_empty,[],[],[],公司志立于成为中国西部地区有影响力的房地产经纪企业，同时为富有创业激情的年轻团队，创造一个挥洒青春与热情的大舞台。
1883-s0012,人工智能招聘,three_agree,agree_empty,[],[],[],工资待遇：底薪2000+高额提成40%（通提）+开单现金奖（1000-10000）+一手带看奖+国内外旅游+社保（五险）面试地点：石桥铺科园一路建设银行二楼 到家了网络科技有限公司工作地点：石桥铺一诚.精英国际商业地产部联系人：冯经理（尽量电话或者微信联系，由于工作原因，投递的简历不能即使回复，望理解）公司介绍重庆到家了网络科技有限公司主要经营：计算机软件开发，计算机技术服务、技术转让，楼盘代理、房屋经纪，产品设计，市场营销策划，货物进出口、技术进出口，展览展示服务，国内外广告发布，市场管理，人力资源管理咨询，服装设计，云计算技术服务，网站建设、维护及技术咨询服务，利用互联网销售百货，计算机信息系统服务，计算机软件服务，签证咨询服务。
1883-s0013,人工智能招聘,three_agree,agree_empty,[],[],[],（依法须经批准的项目，经相关部门批准后方可开展经营活动。
1883-s0014,人工智能招聘,three_agree,agree_empty,[],[],[],）等产品。
1884-s0003,人工智能招聘,three_agree,agree_empty,[],[],[],4.实现与服务器端的接口交互；
