system,family,domain,label,n_ids,n_missing_ids,id_coverage,n_gold_spans,n_pred_spans,exact_tp,exact_precision,exact_recall,exact_f1,relaxed_tp,relaxed_precision,relaxed_recall,relaxed_f1
JobBERT-zh 3M,Supervised encoder,Public-sector,T,737,0,1.0,44,21,9,0.42857142857142855,0.20454545454545456,0.27692307692307694,13,0.6190476190476191,0.29545454545454547,0.4000000000000001
JobBERT-zh 1M,Supervised encoder,AI recruitment,L,1407,0,1.0,22,20,12,0.6,0.5454545454545454,0.5714285714285713,16,0.8,0.7272727272727273,0.761904761904762
JobBERT-zh 1M,Supervised encoder,AI recruitment,K,1407,0,1.0,951,698,347,0.497134670487106,0.3648790746582545,0.42086112795633723,462,0.66189111747851,0.48580441640378547,0.5603395997574289
JobBERT-zh 1M,Supervised encoder,AI recruitment,S,1407,0,1.0,1535,1421,673,0.4736101337086559,0.43843648208469055,0.4553450608930988,946,0.6657283603096411,0.61628664495114,0.6400541271989175
JobBERT-zh 1M,Supervised encoder,AI recruitment,T,1407,0,1.0,516,424,218,0.5141509433962265,0.42248062015503873,0.46382978723404256,308,0.7264150943396226,0.5968992248062015,0.6553191489361702
JobBERT-zh 1M,Supervised encoder,Cloud,L,457,0,1.0,10,7,3,0.42857142857142855,0.3,0.3529411764705882,7,1.0,0.7,0.8235294117647058
JobBERT-zh 1M,Supervised encoder,Cloud,K,457,0,1.0,247,202,100,0.49504950495049505,0.4048582995951417,0.4454342984409799,133,0.6584158415841584,0.5384615384615384,0.5924276169265034
JobBERT-zh 1M,Supervised encoder,Cloud,S,457,0,1.0,425,406,166,0.4088669950738916,0.3905882352941176,0.39951865222623345,251,0.6182266009852216,0.5905882352941176,0.6040914560770155
JobBERT-zh 1M,Supervised encoder,Cloud,T,457,0,1.0,138,126,74,0.5873015873015873,0.5362318840579711,0.5606060606060606,89,0.7063492063492064,0.644927536231884,0.6742424242424243
JobBERT-zh 1M,Supervised encoder,Public-sector,L,737,0,1.0,1,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
JobBERT-zh 1M,Supervised encoder,Public-sector,K,737,0,1.0,172,90,25,0.2777777777777778,0.14534883720930233,0.19083969465648856,35,0.3888888888888889,0.20348837209302326,0.267175572519084
JobBERT-zh 1M,Supervised encoder,Public-sector,S,737,0,1.0,130,89,18,0.20224719101123595,0.13846153846153847,0.1643835616438356,28,0.3146067415730337,0.2153846153846154,0.25570776255707767
JobBERT-zh 1M,Supervised encoder,Public-sector,T,737,0,1.0,44,27,8,0.2962962962962963,0.18181818181818182,0.22535211267605634,16,0.5925925925925926,0.36363636363636365,0.4507042253521127
gpt-5.4,Zero-shot language model,AI recruitment,L,1407,0,1.0,22,18,0,0.0,0.0,0.0,4,0.2222222222222222,0.18181818181818182,0.19999999999999998
gpt-5.4,Zero-shot language model,AI recruitment,K,1407,0,1.0,951,1098,229,0.20856102003642987,0.24079915878023134,0.22352367008296728,419,0.38160291438979965,0.4405888538380652,0.40897999023914106
gpt-5.4,Zero-shot language model,AI recruitment,S,1407,0,1.0,1535,1921,326,0.16970327954190526,0.21237785016286645,0.18865740740740738,707,0.3680374804789172,0.46058631921824106,0.40914351851851855
gpt-5.4,Zero-shot language model,AI recruitment,T,1407,0,1.0,516,667,174,0.2608695652173913,0.3372093023255814,0.294167371090448,313,0.46926536731634183,0.6065891472868217,0.5291631445477599
gpt-5.4,Zero-shot language model,Cloud,L,457,0,1.0,10,8,2,0.25,0.2,0.22222222222222224,6,0.75,0.6,0.6666666666666665
gpt-5.4,Zero-shot language model,Cloud,K,457,0,1.0,247,220,66,0.3,0.26720647773279355,0.2826552462526767,103,0.4681818181818182,0.41700404858299595,0.4411134903640257
gpt-5.4,Zero-shot language model,Cloud,S,457,0,1.0,425,620,107,0.17258064516129032,0.25176470588235295,0.20478468899521532,213,0.3435483870967742,0.5011764705882353,0.4076555023923446
gpt-5.4,Zero-shot language model,Cloud,T,457,0,1.0,138,165,50,0.30303030303030304,0.36231884057971014,0.33003300330033003,86,0.5212121212121212,0.6231884057971014,0.5676567656765678
gpt-5.4,Zero-shot language model,Public-sector,L,737,0,1.0,1,3,0,0.0,0.0,0.0,1,0.3333333333333333,1.0,0.5
gpt-5.4,Zero-shot language model,Public-sector,K,737,0,1.0,172,215,18,0.08372093023255814,0.10465116279069768,0.0930232558139535,50,0.23255813953488372,0.29069767441860467,0.2583979328165375
gpt-5.4,Zero-shot language model,Public-sector,S,737,0,1.0,130,113,13,0.11504424778761062,0.1,0.10699588477366255,33,0.2920353982300885,0.25384615384615383,0.2716049382716049
gpt-5.4,Zero-shot language model,Public-sector,T,737,0,1.0,44,87,9,0.10344827586206896,0.20454545454545456,0.13740458015267173,23,0.26436781609195403,0.5227272727272727,0.3511450381679389
deepseek-v4-pro,Zero-shot language model,AI recruitment,L,1407,0,1.0,22,12,0,0.0,0.0,0.0,3,0.25,0.13636363636363635,0.1764705882352941
deepseek-v4-pro,Zero-shot language model,AI recruitment,K,1407,0,1.0,951,831,186,0.22382671480144403,0.19558359621451105,0.20875420875420878,328,0.394705174488568,0.3449001051524711,0.36812570145903484
deepseek-v4-pro,Zero-shot language model,AI recruitment,S,1407,0,1.0,1535,1721,278,0.16153399186519465,0.18110749185667752,0.17076167076167073,634,0.368390470656595,0.413029315960912,0.38943488943488946
deepseek-v4-pro,Zero-shot language model,AI recruitment,T,1407,0,1.0,516,609,158,0.2594417077175698,0.3062015503875969,0.2808888888888889,286,0.4696223316912972,0.5542635658914729,0.5084444444444445
deepseek-v4-pro,Zero-shot language model,Cloud,L,457,0,1.0,10,8,1,0.125,0.1,0.11111111111111112,4,0.5,0.4,0.4444444444444445
deepseek-v4-pro,Zero-shot language model,Cloud,K,457,0,1.0,247,176,53,0.30113636363636365,0.2145748987854251,0.25059101654846333,89,0.5056818181818182,0.3603238866396761,0.42080378250591016
deepseek-v4-pro,Zero-shot language model,Cloud,S,457,0,1.0,425,552,85,0.1539855072463768,0.2,0.17400204708290687,174,0.31521739130434784,0.40941176470588236,0.35619242579324467
deepseek-v4-pro,Zero-shot language model,Cloud,T,457,0,1.0,138,148,46,0.3108108108108108,0.3333333333333333,0.32167832167832167,82,0.5540540540540541,0.5942028985507246,0.5734265734265734
deepseek-v4-pro,Zero-shot language model,Public-sector,L,737,0,1.0,1,2,0,0.0,0.0,0.0,1,0.5,1.0,0.6666666666666666
deepseek-v4-pro,Zero-shot language model,Public-sector,K,737,0,1.0,172,110,10,0.09090909090909091,0.05813953488372093,0.07092198581560284,22,0.2,0.12790697674418605,0.15602836879432624
deepseek-v4-pro,Zero-shot language model,Public-sector,S,737,0,1.0,130,110,19,0.17272727272727273,0.14615384615384616,0.15833333333333333,36,0.32727272727272727,0.27692307692307694,0.30000000000000004
deepseek-v4-pro,Zero-shot language model,Public-sector,T,737,0,1.0,44,57,8,0.14035087719298245,0.18181818181818182,0.15841584158415842,17,0.2982456140350877,0.38636363636363635,0.33663366336633666
kimi-k2.6,Zero-shot language model,AI recruitment,L,1407,0,1.0,22,12,2,0.16666666666666666,0.09090909090909091,0.11764705882352942,4,0.3333333333333333,0.18181818181818182,0.23529411764705885
kimi-k2.6,Zero-shot language model,AI recruitment,K,1407,0,1.0,951,1018,203,0.1994106090373281,0.21345951629863302,0.20619603859827326,386,0.3791748526522593,0.4058885383806519,0.3920771965464703
kimi-k2.6,Zero-shot language model,AI recruitment,S,1407,0,1.0,1535,1885,301,0.1596816976127321,0.19609120521172638,0.17602339181286547,681,0.3612732095490716,0.4436482084690554,0.39824561403508774
kimi-k2.6,Zero-shot language model,AI recruitment,T,1407,0,1.0,516,616,149,0.2418831168831169,0.28875968992248063,0.2632508833922262,278,0.4512987012987013,0.5387596899224806,0.4911660777385159
kimi-k2.6,Zero-shot language model,Cloud,L,457,0,1.0,10,11,1,0.09090909090909091,0.1,0.09523809523809525,5,0.45454545454545453,0.5,0.47619047619047616
kimi-k2.6,Zero-shot language model,Cloud,K,457,0,1.0,247,200,58,0.29,0.23481781376518218,0.2595078299776286,94,0.47,0.3805668016194332,0.4205816554809843
kimi-k2.6,Zero-shot language model,Cloud,S,457,0,1.0,425,659,103,0.15629742033383914,0.24235294117647058,0.19003690036900367,216,0.3277693474962064,0.508235294117647,0.3985239852398524
kimi-k2.6,Zero-shot language model,Cloud,T,457,0,1.0,138,149,47,0.31543624161073824,0.34057971014492755,0.32752613240418116,82,0.5503355704697986,0.5942028985507246,0.5714285714285714
kimi-k2.6,Zero-shot language model,Public-sector,L,737,0,1.0,1,3,0,0.0,0.0,0.0,1,0.3333333333333333,1.0,0.5
kimi-k2.6,Zero-shot language model,Public-sector,K,737,0,1.0,172,203,17,0.08374384236453201,0.09883720930232558,0.09066666666666666,41,0.2019704433497537,0.23837209302325582,0.21866666666666668
kimi-k2.6,Zero-shot language model,Public-sector,S,737,0,1.0,130,96,13,0.13541666666666666,0.1,0.11504424778761063,31,0.3229166666666667,0.23846153846153847,0.27433628318584075
kimi-k2.6,Zero-shot language model,Public-sector,T,737,0,1.0,44,64,7,0.109375,0.1590909090909091,0.12962962962962962,17,0.265625,0.38636363636363635,0.3148148148148148
claude-sonnet-4-5,Zero-shot language model,AI recruitment,L,1407,0,1.0,22,9,0,0.0,0.0,0.0,5,0.5555555555555556,0.22727272727272727,0.3225806451612903
claude-sonnet-4-5,Zero-shot language model,AI recruitment,K,1407,0,1.0,951,747,171,0.2289156626506024,0.17981072555205047,0.20141342756183744,326,0.4364123159303882,0.34279705573080965,0.38398115429917545
claude-sonnet-4-5,Zero-shot language model,AI recruitment,S,1407,0,1.0,1535,1392,258,0.1853448275862069,0.16807817589576549,0.17628971643320807,560,0.40229885057471265,0.36482084690553745,0.38264434574649814
claude-sonnet-4-5,Zero-shot language model,AI recruitment,T,1407,0,1.0,516,561,152,0.2709447415329768,0.29457364341085274,0.2822655524605385,276,0.4919786096256685,0.5348837209302325,0.5125348189415041
claude-sonnet-4-5,Zero-shot language model,Cloud,L,457,0,1.0,10,5,1,0.2,0.1,0.13333333333333333,5,1.0,0.5,0.6666666666666666
claude-sonnet-4-5,Zero-shot language model,Cloud,K,457,0,1.0,247,163,53,0.32515337423312884,0.2145748987854251,0.2585365853658536,87,0.5337423312883436,0.3522267206477733,0.424390243902439
claude-sonnet-4-5,Zero-shot language model,Cloud,S,457,0,1.0,425,465,71,0.15268817204301074,0.16705882352941176,0.15955056179775282,160,0.34408602150537637,0.3764705882352941,0.3595505617977528
claude-sonnet-4-5,Zero-shot language model,Cloud,T,457,0,1.0,138,141,39,0.2765957446808511,0.2826086956521739,0.27956989247311825,75,0.5319148936170213,0.5434782608695652,0.5376344086021505
claude-sonnet-4-5,Zero-shot language model,Public-sector,L,737,0,1.0,1,3,0,0.0,0.0,0.0,1,0.3333333333333333,1.0,0.5
claude-sonnet-4-5,Zero-shot language model,Public-sector,K,737,0,1.0,172,119,15,0.12605042016806722,0.0872093023255814,0.10309278350515463,34,0.2857142857142857,0.19767441860465115,0.23367697594501716
claude-sonnet-4-5,Zero-shot language model,Public-sector,S,737,0,1.0,130,96,18,0.1875,0.13846153846153847,0.1592920353982301,39,0.40625,0.3,0.34513274336283184
claude-sonnet-4-5,Zero-shot language model,Public-sector,T,737,0,1.0,44,78,8,0.10256410256410256,0.18181818181818182,0.13114754098360654,21,0.2692307692307692,0.4772727272727273,0.3442622950819672
Qwen2.5-14B-Instruct,Zero-shot language model,AI recruitment,L,1407,0,1.0,22,19,3,0.15789473684210525,0.13636363636363635,0.14634146341463414,7,0.3684210526315789,0.3181818181818182,0.3414634146341463
Qwen2.5-14B-Instruct,Zero-shot language model,AI recruitment,K,1407,0,1.0,951,771,154,0.19974059662775617,0.1619348054679285,0.17886178861788618,281,0.364461738002594,0.29547844374342797,0.32636469221835074
Qwen2.5-14B-Instruct,Zero-shot language model,AI recruitment,S,1407,0,1.0,1535,1013,160,0.1579466929911155,0.10423452768729642,0.12558869701726844,334,0.3297137216189536,0.21758957654723127,0.2621664050235479
Qwen2.5-14B-Instruct,Zero-shot language model,AI recruitment,T,1407,0,1.0,516,563,142,0.2522202486678508,0.2751937984496124,0.2632066728452271,269,0.477797513321492,0.5213178294573644,0.49860982391102876
Qwen2.5-14B-Instruct,Zero-shot language model,Cloud,L,457,0,1.0,10,7,1,0.14285714285714285,0.1,0.11764705882352941,5,0.7142857142857143,0.5,0.588235294117647
Qwen2.5-14B-Instruct,Zero-shot language model,Cloud,K,457,0,1.0,247,155,46,0.2967741935483871,0.1862348178137652,0.22885572139303484,76,0.49032258064516127,0.3076923076923077,0.37810945273631846
Qwen2.5-14B-Instruct,Zero-shot language model,Cloud,S,457,0,1.0,425,408,64,0.1568627450980392,0.15058823529411763,0.15366146458583432,116,0.28431372549019607,0.27294117647058824,0.27851140456182477
Qwen2.5-14B-Instruct,Zero-shot language model,Cloud,T,457,0,1.0,138,139,46,0.33093525179856115,0.3333333333333333,0.33212996389891697,75,0.539568345323741,0.5434782608695652,0.5415162454873645
Qwen2.5-14B-Instruct,Zero-shot language model,Public-sector,L,737,0,1.0,1,3,0,0.0,0.0,0.0,1,0.3333333333333333,1.0,0.5
Qwen2.5-14B-Instruct,Zero-shot language model,Public-sector,K,737,0,1.0,172,114,12,0.10526315789473684,0.06976744186046512,0.0839160839160839,26,0.22807017543859648,0.1511627906976744,0.1818181818181818
Qwen2.5-14B-Instruct,Zero-shot language model,Public-sector,S,737,0,1.0,130,36,8,0.2222222222222222,0.06153846153846154,0.0963855421686747,18,0.5,0.13846153846153847,0.2168674698795181
Qwen2.5-14B-Instruct,Zero-shot language model,Public-sector,T,737,0,1.0,44,40,7,0.175,0.1590909090909091,0.16666666666666666,15,0.375,0.3409090909090909,0.35714285714285715
Llama-3-8B-Instruct,Zero-shot language model,AI recruitment,L,1407,0,1.0,22,334,0,0.0,0.0,0.0,1,0.0029940119760479044,0.045454545454545456,0.0056179775280898875
Llama-3-8B-Instruct,Zero-shot language model,AI recruitment,K,1407,0,1.0,951,449,67,0.1492204899777283,0.07045215562565721,0.09571428571428571,123,0.2739420935412027,0.12933753943217666,0.1757142857142857
Llama-3-8B-Instruct,Zero-shot language model,AI recruitment,S,1407,0,1.0,1535,423,33,0.07801418439716312,0.021498371335504887,0.033707865168539325,78,0.18439716312056736,0.050814332247557006,0.07967313585291115
Llama-3-8B-Instruct,Zero-shot language model,AI recruitment,T,1407,0,1.0,516,36,13,0.3611111111111111,0.025193798449612403,0.04710144927536232,21,0.5833333333333334,0.040697674418604654,0.07608695652173915
Llama-3-8B-Instruct,Zero-shot language model,Cloud,L,457,0,1.0,10,91,1,0.01098901098901099,0.1,0.019801980198019806,4,0.04395604395604396,0.4,0.07920792079207922
Llama-3-8B-Instruct,Zero-shot language model,Cloud,K,457,0,1.0,247,124,27,0.21774193548387097,0.10931174089068826,0.14555256064690028,45,0.3629032258064516,0.18218623481781376,0.24258760107816713
Llama-3-8B-Instruct,Zero-shot language model,Cloud,S,457,0,1.0,425,204,19,0.09313725490196079,0.04470588235294118,0.060413354531001585,47,0.23039215686274508,0.11058823529411765,0.1494435612082671
Llama-3-8B-Instruct,Zero-shot language model,Cloud,T,457,0,1.0,138,7,4,0.5714285714285714,0.028985507246376812,0.05517241379310344,7,1.0,0.050724637681159424,0.09655172413793105
Llama-3-8B-Instruct,Zero-shot language model,Public-sector,L,737,0,1.0,1,138,0,0.0,0.0,0.0,1,0.007246376811594203,1.0,0.014388489208633093
Llama-3-8B-Instruct,Zero-shot language model,Public-sector,K,737,0,1.0,172,156,16,0.10256410256410256,0.09302325581395349,0.0975609756097561,34,0.21794871794871795,0.19767441860465115,0.20731707317073167
Llama-3-8B-Instruct,Zero-shot language model,Public-sector,S,737,0,1.0,130,28,0,0.0,0.0,0.0,3,0.10714285714285714,0.023076923076923078,0.0379746835443038
Llama-3-8B-Instruct,Zero-shot language model,Public-sector,T,737,0,1.0,44,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
