id,new_split
1835-s0001,train
1835-s0003,train
1835-s0004,train
1835-s0007,train
1836-s0000,train
1836-s0001,train
1836-s0002,train
1836-s0003,train
1836-s0004,train
1836-s0006,train
1836-s0007,train
1836-s0009,train
1836-s0010,train
1836-s0011,train
1836-s0012,train
1836-s0013,train
1836-s0015,train
1836-s0019,train
1837-s0022,train
1838-s0001,train
1838-s0002,train
1838-s0004,train
1838-s0005,train
1838-s0007,train
1838-s0008,train
1838-s0009,train
1838-s0011,train
1838-s0012,train
1839-s0002,dev
1839-s0003,dev
1839-s0006,dev
1839-s0007,dev
1839-s0008,dev
1840-s0000,dev
1840-s0001,dev
1840-s0002,dev
1840-s0003,dev
1840-s0004,dev
1841-s0001,train
1841-s0002,train
1841-s0005,train
1841-s0006,train
1841-s0007,train
1841-s0008,train
1842-s0000,train
1842-s0001,train
1842-s0003,train
1842-s0005,train
1842-s0006,train
1842-s0008,train
1842-s0009,train
1842-s0010,train
1843-s0002,train
1843-s0003,train
1843-s0004,train
1843-s0005,train
1843-s0006,train
1843-s0007,train
1843-s0008,train
1844-s0002,train
1845-s0000,train
1845-s0001,train
1845-s0003,train
1845-s0005,train
1845-s0007,train
1845-s0008,train
1845-s0009,train
1845-s0011,train
1846-s0005,test
1846-s0010,test
1846-s0011,test
1847-s0000,test
1847-s0001,test
1847-s0002,test
1847-s0003,test
1847-s0006,test
1847-s0007,test
1848-s0000,test
1848-s0001,test
1848-s0002,test
1848-s0003,test
1848-s0004,test
1848-s0005,test
1848-s0006,test
1848-s0007,test
1848-s0008,test
1848-s0009,test
1848-s0010,test
1848-s0011,test
1849-s0001,dev
1849-s0004,dev
1850-s0000,test
1851-s0001,train
1851-s0003,train
1851-s0004,train
1851-s0005,train
1852-s0000,test
1852-s0003,test
1852-s0005,test
1852-s0008,test
1853-s0000,train
1853-s0003,train
1853-s0004,train
1853-s0005,train
1854-s0000,dev
1854-s0001,dev
1854-s0002,dev
1855-s0002,train
1855-s0003,train
1855-s0004,train
1855-s0006,train
1855-s0008,train
1855-s0009,train
1855-s0010,train
1855-s0012,train
1855-s0013,train
1856-s0000,train
1857-s0000,dev
1857-s0001,dev
1858-s0002,test
1858-s0005,test
1858-s0008,test
1858-s0009,test
1858-s0010,test
1859-s0000,train
1859-s0001,train
1860-s0000,train
1860-s0003,train
1860-s0006,train
1860-s0007,train
1860-s0010,train
1860-s0011,train
1860-s0012,train
1861-s0002,train
1861-s0004,train
1861-s0006,train
1862-s0000,train
1862-s0001,train
1862-s0005,train
1862-s0006,train
1862-s0007,train
1862-s0010,train
1862-s0011,train
1862-s0012,train
1862-s0013,train
1863-s0000,dev
1863-s0001,dev
1863-s0002,dev
1863-s0003,dev
1863-s0004,dev
1863-s0005,dev
1863-s0006,dev
1863-s0007,dev
1864-s0000,train
1865-s0000,dev
1865-s0001,dev
1866-s0000,train
1866-s0001,train
1866-s0002,train
1866-s0003,train
1866-s0004,train
1866-s0005,train
1866-s0006,train
1866-s0007,train
1866-s0008,train
1866-s0009,train
1867-s0000,train
1867-s0002,train
1867-s0004,train
1867-s0005,train
1868-s0004,train
1868-s0005,train
1869-s0000,test
1869-s0001,test
1869-s0002,test
1869-s0005,test
1870-s0000,train
1870-s0001,train
1870-s0002,train
1870-s0003,train
1870-s0004,train
1870-s0006,train
1870-s0007,train
1870-s0008,train
1870-s0009,train
1870-s0011,train
1870-s0012,train
1871-s0000,train
1872-s0000,train
1872-s0003,train
1872-s0004,train
1872-s0005,train
1872-s0006,train
1872-s0007,train
1872-s0008,train
1872-s0012,train
1873-s0000,train
1873-s0001,train
1873-s0002,train
1873-s0004,train
1873-s0005,train
1873-s0006,train
1874-s0000,train
1874-s0001,train
1874-s0003,train
1874-s0004,train
1874-s0005,train
1874-s0006,train
1875-s0000,dev
1875-s0001,dev
1875-s0002,dev
1875-s0003,dev
1876-s0009,train
1876-s0011,train
1876-s0015,train
1877-s0001,train
1877-s0002,train
1877-s0003,train
1877-s0004,train
1877-s0005,train
1877-s0006,train
1877-s0007,train
1877-s0008,train
1877-s0009,train
1877-s0010,train
1878-s0000,train
1878-s0001,train
1879-s0000,test
1879-s0001,test
1879-s0003,test
1879-s0004,test
1879-s0005,test
1880-s0000,test
1880-s0001,test
1880-s0002,test
1880-s0003,test
1880-s0005,test
1880-s0007,test
1880-s0008,test
1881-s0000,test
1881-s0001,test
1881-s0004,test
1881-s0006,test
1881-s0007,test
1881-s0008,test
1881-s0011,test
1881-s0012,test
1881-s0013,test
1881-s0015,test
1882-s0001,train
1882-s0002,train
1882-s0003,train
1882-s0004,train
1882-s0005,train
1882-s0007,train
1882-s0009,train
1882-s0011,train
1883-s0009,train
1883-s0010,train
1884-s0001,dev
1884-s0004,dev
1884-s0005,dev
1884-s0007,dev
1884-s0008,dev
1884-s0009,dev
1884-s0010,dev
1884-s0012,dev
1885-s0000,train
1885-s0001,train
1885-s0004,train
1885-s0005,train
1885-s0006,train
1885-s0008,train
1885-s0011,train
1885-s0012,train
1886-s0000,train
1887-s0001,train
1888-s0000,test
1888-s0001,test
1888-s0005,test
1889-s0000,train
1890-s0000,train
1890-s0001,train
1890-s0002,train
1890-s0003,train
1890-s0004,train
1891-s0002,train
1891-s0003,train
1891-s0005,train
1891-s0006,train
1891-s0008,train
1891-s0012,train
1891-s0013,train
1892-s0000,train
1892-s0001,train
1892-s0002,train
1892-s0003,train
1892-s0004,train
1892-s0005,train
1892-s0006,train
1892-s0007,train
1892-s0008,train
1893-s0000,train
1893-s0003,train
1893-s0005,train
1893-s0006,train
1894-s0000,train
1895-s0000,train
1896-s0000,train
1896-s0002,train
1896-s0003,train
1896-s0004,train
1896-s0005,train
1896-s0006,train
1896-s0007,train
1896-s0008,train
1897-s0000,test
1897-s0001,test
1897-s0002,test
1897-s0005,test
1897-s0006,test
1898-s0000,train
1898-s0004,train
1898-s0005,train
1898-s0006,train
1898-s0008,train
1898-s0013,train
1898-s0014,train
1899-s0006,train
1899-s0007,train
1899-s0012,train
1899-s0013,train
1900-s0000,train
1900-s0001,train
1900-s0002,train
1901-s0000,train
1901-s0001,train
1901-s0002,train
1902-s0000,train
1902-s0001,train
1902-s0002,train
1902-s0003,train
1902-s0004,train
1902-s0005,train
1902-s0006,train
1903-s0000,train
1903-s0001,train
1903-s0002,train
1903-s0003,train
1903-s0004,train
1903-s0006,train
1904-s0000,train
1904-s0001,train
1905-s0000,train
1905-s0001,train
1905-s0002,train
1905-s0003,train
1905-s0004,train
1905-s0006,train
1905-s0008,train
1905-s0010,train
1905-s0011,train
1905-s0013,train
1905-s0014,train
1905-s0015,train
1906-s0000,train
1907-s0000,train
1907-s0002,train
1907-s0003,train
1907-s0004,train
1907-s0005,train
1907-s0006,train
1907-s0007,train
1907-s0008,train
1907-s0009,train
1907-s0010,train
1907-s0011,train
1908-s0001,test
1908-s0002,test
1908-s0003,test
1908-s0004,test
1908-s0005,test
1908-s0006,test
1908-s0007,test
1908-s0009,test
1908-s0010,test
1909-s0002,train
1909-s0003,train
1909-s0004,train
1910-s0000,train
1910-s0001,train
1910-s0006,train
1911-s0000,train
1911-s0002,train
1911-s0004,train
1912-s0000,dev
1912-s0001,dev
1912-s0003,dev
1912-s0004,dev
1912-s0005,dev
1912-s0006,dev
1912-s0007,dev
1912-s0008,dev
1913-s0000,train
1913-s0001,train
1913-s0003,train
1913-s0007,train
1913-s0008,train
1914-s0000,test
1914-s0003,test
1914-s0004,test
1914-s0007,test
1915-s0000,train
1915-s0002,train
1915-s0003,train
1915-s0004,train
1915-s0006,train
1916-s0000,test
1916-s0001,test
1916-s0002,test
1916-s0003,test
1916-s0005,test
1916-s0006,test
1916-s0008,test
1917-s0000,train
1917-s0001,train
1917-s0002,train
1917-s0004,train
1917-s0005,train
1918-s0004,train
1918-s0005,train
1918-s0007,train
1918-s0008,train
1918-s0010,train
1918-s0011,train
1919-s0002,train
1920-s0000,train
1920-s0001,train
1920-s0002,train
1920-s0003,train
1920-s0005,train
1920-s0006,train
1920-s0007,train
1920-s0009,train
1921-s0000,train
1921-s0001,train
1921-s0002,train
1921-s0003,train
1921-s0004,train
1921-s0006,train
1921-s0007,train
1921-s0008,train
1921-s0010,train
1922-s0001,train
1922-s0003,train
1922-s0004,train
1922-s0007,train
1922-s0008,train
1923-s0000,test
1924-s0000,train
1924-s0001,train
1924-s0002,train
1924-s0003,train
1924-s0004,train
1924-s0005,train
1924-s0006,train
1924-s0007,train
1924-s0008,train
1924-s0009,train
1924-s0010,train
1925-s0000,test
1925-s0001,test
1925-s0002,test
1925-s0005,test
1925-s0006,test
1925-s0008,test
1925-s0010,test
1925-s0011,test
1925-s0012,test
1926-s0000,train
1926-s0001,train
1926-s0002,train
1926-s0003,train
1926-s0004,train
1926-s0005,train
1926-s0006,train
1926-s0008,train
1927-s0000,train
1927-s0002,train
1927-s0003,train
1927-s0004,train
1927-s0006,train
1928-s0000,train
1928-s0001,train
1928-s0008,train
1928-s0010,train
1929-s0003,train
1929-s0005,train
1929-s0010,train
1929-s0011,train
1929-s0012,train
1930-s0000,train
1930-s0001,train
1930-s0004,train
1931-s0001,train
1931-s0002,train
1931-s0003,train
1931-s0005,train
1931-s0008,train
1931-s0009,train
1931-s0010,train
1932-s0001,test
1932-s0002,test
1932-s0003,test
1932-s0004,test
1932-s0007,test
1932-s0008,test
1932-s0010,test
1933-s0000,train
1933-s0002,train
1933-s0003,train
1933-s0006,train
1933-s0007,train
1933-s0008,train
1933-s0009,train
1933-s0011,train
1934-s0002,train
1934-s0003,train
1934-s0005,train
1934-s0006,train
1934-s0009,train
1935-s0001,train
1935-s0002,train
1935-s0003,train
1935-s0004,train
1935-s0006,train
1935-s0008,train
1935-s0009,train
1936-s0001,train
1936-s0002,train
1936-s0003,train
1937-s0000,train
1937-s0002,train
1937-s0003,train
1937-s0005,train
1937-s0006,train
1937-s0007,train
1937-s0009,train
1937-s0010,train
1937-s0011,train
1937-s0012,train
1937-s0013,train
1938-s0005,train
1938-s0007,train
1938-s0008,train
1939-s0000,train
1939-s0001,train
1939-s0002,train
1939-s0003,train
1939-s0004,train
1939-s0007,train
1939-s0008,train
1940-s0001,train
1940-s0002,train
1940-s0003,train
1940-s0004,train
1940-s0006,train
1940-s0007,train
1940-s0008,train
1941-s0000,dev
1941-s0001,dev
1941-s0002,dev
1941-s0004,dev
1942-s0000,train
1942-s0001,train
1942-s0003,train
1943-s0003,dev
1943-s0005,dev
1944-s0000,train
1944-s0001,train
1944-s0002,train
1944-s0003,train
1944-s0007,train
1945-s0001,dev
1945-s0002,dev
1945-s0005,dev
1945-s0006,dev
1945-s0008,dev
1946-s0001,train
1947-s0000,train
1947-s0001,train
1947-s0003,train
1947-s0004,train
1947-s0006,train
1947-s0007,train
1947-s0011,train
1947-s0012,train
1947-s0013,train
1948-s0000,train
1948-s0001,train
1948-s0002,train
1948-s0004,train
1948-s0005,train
1948-s0007,train
1948-s0008,train
1948-s0009,train
1948-s0010,train
1948-s0011,train
1949-s0000,train
1949-s0002,train
1949-s0003,train
1950-s0000,train
1950-s0001,train
1950-s0002,train
1950-s0003,train
1951-s0000,train
1951-s0002,train
1951-s0003,train
1951-s0005,train
1951-s0007,train
1951-s0008,train
1951-s0011,train
1951-s0012,train
1952-s0000,train
1952-s0001,train
1952-s0004,train
1952-s0006,train
1953-s0000,train
1953-s0001,train
1953-s0002,train
1953-s0004,train
1953-s0007,train
1953-s0009,train
1954-s0000,test
1954-s0001,test
1954-s0002,test
1955-s0000,train
1955-s0001,train
1955-s0004,train
1955-s0006,train
1955-s0007,train
1955-s0009,train
1956-s0001,train
1956-s0002,train
1956-s0003,train
1956-s0004,train
1956-s0005,train
1956-s0008,train
1956-s0009,train
1956-s0010,train
1957-s0000,test
1957-s0001,test
1957-s0003,test
1957-s0004,test
1957-s0005,test
1958-s0000,train
1959-s0000,train
1959-s0005,train
1959-s0008,train
1959-s0009,train
1960-s0000,test
1960-s0002,test
1960-s0003,test
1960-s0004,test
1960-s0005,test
1960-s0006,test
1960-s0009,test
1960-s0011,test
1961-s0003,dev
1961-s0004,dev
1963-s0000,train
1963-s0001,train
1963-s0002,train
1963-s0003,train
1963-s0004,train
1963-s0005,train
1963-s0006,train
1963-s0007,train
1963-s0008,train
1963-s0009,train
1964-s0000,train
1964-s0001,train
1964-s0002,train
1965-s0000,train
1965-s0001,train
1965-s0003,train
1965-s0004,train
1965-s0006,train
1965-s0008,train
1965-s0009,train
1965-s0011,train
1965-s0012,train
1965-s0013,train
1965-s0014,train
1966-s0000,train
1966-s0001,train
1966-s0002,train
1966-s0006,train
1967-s0000,train
1967-s0001,train
1967-s0003,train
1967-s0007,train
1967-s0008,train
1967-s0010,train
1967-s0011,train
1967-s0012,train
1967-s0013,train
1967-s0014,train
1968-s0000,train
1968-s0004,train
1968-s0005,train
1968-s0008,train
1968-s0012,train
1969-s0000,train
1969-s0002,train
1969-s0003,train
1969-s0004,train
1969-s0007,train
1969-s0008,train
1969-s0011,train
1970-s0000,train
1970-s0002,train
1970-s0005,train
1971-s0002,train
1971-s0003,train
1971-s0004,train
1971-s0005,train
1971-s0006,train
1971-s0007,train
1971-s0012,train
1971-s0013,train
1972-s0000,train
1972-s0001,train
1972-s0002,train
1972-s0004,train
1972-s0005,train
1972-s0006,train
1972-s0007,train
1972-s0008,train
1973-s0006,test
1973-s0007,test
1973-s0008,test
1974-s0001,train
1974-s0011,train
1975-s0000,test
1975-s0001,test
1975-s0002,test
1975-s0004,test
1975-s0006,test
1976-s0003,test
1976-s0007,test
1976-s0010,test
1976-s0011,test
1976-s0013,test
1976-s0014,test
1977-s0000,test
1977-s0001,test
1977-s0002,test
1977-s0004,test
1977-s0005,test
1977-s0006,test
1977-s0008,test
1977-s0010,test
1978-s0000,train
1978-s0001,train
1978-s0004,train
1978-s0005,train
1979-s0000,test
1979-s0001,test
1979-s0004,test
1979-s0006,test
1979-s0007,test
1980-s0004,train
1980-s0006,train
1982-s0003,test
1982-s0006,test
1982-s0008,test
1983-s0000,test
1983-s0001,test
1984-s0001,test
1984-s0050,test
1985-s0001,dev
1985-s0002,dev
1986-s0000,dev
1987-s0030,train
1987-s0031,train
1988-s0012,train
1988-s0013,train
1988-s0051,train
1988-s0052,train
1988-s0053,train
1990-s0002,train
1990-s0004,train
1990-s0005,train
1990-s0006,train
1990-s0007,train
1990-s0008,train
1990-s0009,train
1990-s0022,train
1990-s0023,train
1991-s0006,train
1991-s0007,train
1992-s0004,train
1992-s0005,train
1996-s0014,train
1996-s0015,train
1999-s0012,test
1999-s0013,test
