id,source_domain,empty_hint,sentence,human_spans,comment
1127-s0005,人工智能招聘,, 任职要求： 1、金融学、统计学、运筹学等相关专业，全日制本科或以上学历。,,
1127-s0009,人工智能招聘,, 4、优秀的文档撰写能力，抗压能力强，能适应出差。,,
1164-s0003,人工智能招聘,,新的服务和技术在贝壳生态体系里迭代，建立居住新标准，为万千家庭带来更美妙的家的体验。,,
1171-s0001,人工智能招聘,,2、结合公司业务要求，进行数据模型和算法开发，打造机器学习算法能力。,,
1171-s0003,人工智能招聘,,4、搭建及维护算法服务，相关工具及软件的安装维护岗位要求：1、熟悉大数据分析、机器学习、数据挖掘等相关技术；,,
1193-s0002,人工智能招聘,,3、主动发现现有系统的弱点并加以完善，确保模块线上运行稳定；,,
1203-s0006,人工智能招聘,,3、做事认真、细心、负责，善于学习和总结分析；,,
1222-s0006,人工智能招聘,, 3.具备良好的信息化管理技巧，有收集、统计、分析大数据的意识与能力；,,
1225-s0009,人工智能招聘,, 10、熟悉防火墙、IDS、IPS、VPN等安全产品及策略管理；,,
1226-s0003,人工智能招聘,, 4、负责产品市场推广，收集和反馈智能家居行业的市场情报信息；,,
1230-s0007,人工智能招聘,, 2、有课程顾问、咨询师等相关工作经验；,,
1235-s0003,人工智能招聘,,4、能够发现和分析异常数据原因，推动问题的解决。,,
1254-s0011,人工智能招聘,empty_welfare, 工作时间：周一至周五8:45-12:00 14:00-17:30 周末双休,,
1255-s0003,人工智能招聘,, 准确收集、统计、整理咨询数据，挖掘有效顾客信息。,,
1255-s0012,人工智能招聘,, 2、 管理路线：专员主管经理总监--校长；,,
1277-s0005,人工智能招聘,, 熟悉Linux开发环境，熟悉MYSQL或其他大型数据库，熟悉Web开发框架优先；,,
1283-s0002,人工智能招聘,,2、参与公司重要项目的建设，包括需求分析、方案设计和核心代码的编写；,,
1306-s0001,人工智能招聘,,2.7年以上IT项目工作经验，包含3年以上大数据项目经验；,,
1316-s0007,人工智能招聘,, 5. 本科及以上学历，英语4级及以上；,,
1335-s0008,人工智能招聘,, 4、算法基础扎实，熟悉常见的数据结构，深入理解分布式算法和以上提到的分布式系统；,,
1351-s0001,人工智能招聘,, 我能给你 你没有学历没有背景 不要紧，销售行业全凭能力，没有天花板的平台；,,
1358-s0001,人工智能招聘,,基于机器学习（强化学习）的量化投资分析（基金方向）2.&nbsp;,,
1358-s0022,人工智能招聘,,4.&nbsp;,,
1367-s0009,人工智能招聘,,2、熟练使用HTML5特性，了解HTML5最新规范，能够熟练运用HTML5进行web开发；,,
1369-s0006,人工智能招聘,, 3、能熟练操作AutoCAD、3Dmax、Photoshop等软件；,,
1369-s0014,人工智能招聘,empty_welfare,元宵、端午、中秋、春节、三八节、母亲节、六一、圣诞等各种节日福利。,,
1369-s0018,人工智能招聘,, 公司简介 一品效果图公司成立于2006年，目前员工三百多人，专业绘图人员两百多人，公司和全国二十万名设计师、一千多家装饰设计机构达成长期合作关系，累计提供几百万张效果图作品。,,
1378-s0002,人工智能招聘,,3、 能够深入理解各行业/品牌特点，有一定的品类趋势前瞻性，结合品牌痛点和市场机会点提供定制化的行业策略分析、数据运营规划及落地执行建议；,,
1400-s0002,人工智能招聘,, 3.基于线上海量日志数据的用户行为分析，用户画像和模式分析；,,
1406-s0001,人工智能招聘,,岗位职责：1负责三维扫描仪产品的底层算法研发工作2负责相机标定相关算法方面的研究3负责双目结构光的三维点云重建算法方面的研究4负责算法设计和编码实现等相关工作任职要求：1图像处理、机器视觉等相关专业，本科以上学历，研究生优先2具有较强的图像处理和计算机视觉理论基础，良好的英文文献检索和阅读能力3对三维重建算法有着浓厚的兴趣，具有三维重建算法设计经验，参与过相关项目4能熟练使用c、opencv和vc实现三维重建相关算法5具备良好的团队合作和沟通能力。,,
1410-s0005,人工智能招聘,, 2、具有3年以上市场营销、业务拓展/区域推广工作经验。,,
1441-s0018,人工智能招聘,,同时，通过网络平台达成合作协议的渠道商务代表，可主动为企业提供上传产品，网络推广，联系客户，不需要企业支付费用；,,
1441-s0020,人工智能招聘,,我行网旨在为中国地方5000万中小企业和9000万中小商家提供真正的渠道支持，实行后付费交易，是真正的按效果付费，并在全球首推商务代表撮合制度，B2B成交率比传统提高了2.8倍，B2C提高了1.6倍。,,
1446-s0002,人工智能招聘,, 3.负责内容的策划、发布、及互动，提高粉丝量及活跃度，增强用户粘度；,,
1446-s0011,人工智能招聘,," 工作时间：朝九晚六，周一至周六 “匠心打造环保木屋，用木屋改变人居方式” 宝德盛控股-诚信铸就品质，创新引领未来 挂牌代码：364118, 高薪诚聘",,
1469-s0003,人工智能招聘,, （二）任职要求 1.统招全日制本科及以上学历，本科5年、硕士3年以上工作经历；,,
1469-s0004,人工智能招聘,, 2.车辆工程、自动化、控制工程等相关专业本科以上学历；,,
1479-s0003,人工智能招聘,, 4、对底层数据逻辑有感觉，能提出底层数据结构、埋点、报表优化等需求，并能跟PD和开发进行有效沟通并落地执行。,,
1485-s0005,人工智能招聘,,熟悉神经网络算法；,,
1487-s0011,人工智能招聘,, 5、普通话标准，具有较强的沟通能力、学习能力和抗压能力；,,
1487-s0012,人工智能招聘,, 6、形象气质好、身体健康；,,
1487-s0013,人工智能招聘,, 7、熟练使用office办公软件，具备基本的网络知识。,,
1492-s0008,人工智能招聘,,3.熟悉行业动态及发展方向，擅长销售渠道拓展，优秀的工作业绩。,,
1492-s0011,人工智能招聘,,善于协调、沟通，责任心、事业心强。,,
1497-s0006,人工智能招聘,, 6、负责团队费用及项目成本的监控。,,
1507-s0000,人工智能招聘,,基本条件 1.认同公司文化与战略，具有较强的创新力和执行力，有激情、有责任、有担当；,,
1507-s0010,人工智能招聘,, 5.协调农险移动APP、小程序等工具与公司其他移动工具的协同应用；,,
1512-s0003,人工智能招聘,,作为七牛云决方案售前技术专家，为企业提供有竞争力的云解决方案如规划面向电商，社交娱乐的公有云解决方案，面向运营商，银行某业务场景的专业解决方案，支持业务团队进行售前工作，并配合相关的售中后等相关业务工作；,,
1520-s0004,人工智能招聘,, 二、职位要求： 1、海外留学经验优先，经济、金融相关专业；,,
1520-s0010,人工智能招聘,, 7、出色的英文听说读写能力。,,
1524-s0009,人工智能招聘,,5.良好的英语沟通能力，思路清晰，有好的团队合作精神。,,
1526-s0001,人工智能招聘,, 語言能力：具良好的英语读写能力；,,
1526-s0010,人工智能招聘,, 4、熟悉欧美国家的安规要求及RHOS欧盟法规要求的优先。,,
1526-s0034,人工智能招聘,, 8，跟进首批量产，并解决出现的问题 9，设计变更前的验证工作，验证后更新相关图纸，配置表等资料 六、量产改良与移交 1，跟进和验收新产品开发过程中所需的电子物料、软件代码及相关设计文件；,,
1526-s0037,人工智能招聘,, 6，协助进行新产品专利的申请工作。,,
1538-s0004,人工智能招聘,,5.数据挖掘分析。,,
1570-s0001,人工智能招聘,, * 依据市场目标，负责整体推广和品牌宣传，开发、整合线上线下媒介资源，建立有效的推广渠道；,,
1579-s0001,人工智能招聘,, 2、喜欢音响及家庭影院设备或者对这方面产品有一定的兴趣。,,
1579-s0004,人工智能招聘,, 5、熟练办公软件操作。,,
1579-s0008,人工智能招聘,, 4.弄虚作假，欺骗客户，欺骗公司，一律开除！,,
1580-s0000,人工智能招聘,,职责描述： 1、技术人员职位，在上级的领导和监督下定期完成量化的工作要求，并能独立处理和解决所负责的任务；,,
1582-s0015,人工智能招聘,,2、 专科学历以上无责任底薪4000元加1000元绩效，底薪5000元，提成35%起。,,
1602-s0012,人工智能招聘,, 5、 有较好英语文档阅读能力；,,
1609-s0001,人工智能招聘,,2、 对项目中设备选型：包括品牌、功能、组成、架构、关键核心技术指标确认等。,,
1609-s0002,人工智能招聘,,3、 负责对销售传递的或客户提出的方案疑点进行释疑。,,
1609-s0009,人工智能招聘,,3、 有机器人/自动化项目实施背景经验者优先。,,
1618-s0010,人工智能招聘,, 5.有较强的数据分析、挖掘能力，数据敏感度高；,,
1626-s0004,人工智能招聘,, 4、负责公司研发数据/项目管理的数字化运营：用户行为研究、大数据分析或信息的动态跟踪等。,,
1632-s0008,人工智能招聘,,5.有良好的英语能力，可将英语作为工作语言者优先。,,
1661-s0000,人工智能招聘,,岗位职责： 1.公司主要产品的人机交互设计；,,
1661-s0006,人工智能招聘,, 3. 有良好的自学习能力，有成长性；,,
1672-s0005,人工智能招聘,, 熟悉常规的企业级IT解决方案、对云计算解决方案有独到的见解，能够针对性的为客户打造整体解决方案 良好的沟通表达能力（中英文）、演讲能力，能够独立撰写方案标书并进行方案演讲；,,
1688-s0009,人工智能招聘,empty_welfare," 3、 有股权激励，股票期权、绩效奖金、带薪年假、五险一金等 ,Boss 路英 7k-12k 诚聘",,
1692-s0003,人工智能招聘,, 4、管理生态链项目整体开发进程，管控项目周报和定期汇报情况，及时发现并向SCM预警相关风险和问题；,,
1704-s0008,人工智能招聘,,4.对智能硬件产品有兴趣，并有相关的项目经验。,,
1708-s0006,人工智能招聘,, 2、具有深厚的数学、统计学和计算机相关知识，对商业和业务逻辑敏感，具备良好的逻辑分析能力、组织沟通能力和团队精神；,,
1708-s0007,人工智能招聘,, 3、曾经参与过比较完整的数据采集、整理、分析工作；,,
1710-s0001,人工智能招聘,,3、与销售部门紧密合作，快速挖掘客户需求与项目合作机会，推进大数据平台应用解决方案和数据产品的业务拓展；,,
1717-s0002,人工智能招聘,, 2.熟悉计算网络存储；,,
1717-s0006,人工智能招聘,, 5.。,,
1717-s0007,人工智能招聘,, 加分项： 1.有常用Devops，CICD工具经验，有Jenkins经验；,,
1742-s0006,人工智能招聘,,5、网络配置优化：负责已经接维网络的分析与优化，对现有网络用户业务与流量进行分析，合理制定网络策略，定期对垃圾配置和存在隐患的配置进行清理和优化，保证集团用户使用体验度。,,
1756-s0004,人工智能招聘,,任职要求:1. 统招全日制本科及以上学历，3年以上相关工作经验，理工科相关专业，计算机、统计数学背景优先；,,
1788-s0004,人工智能招聘,, 5、有计划的完上级分配的其他工作。,,
1788-s0012,人工智能招聘,,来源：马 克 数 据 网,,
1797-s0002,人工智能招聘,,3、跟进Ethereum，EOS开源技术演进，并基于此构建、优化区块链智能合约；,,
1797-s0005,人工智能招聘,,●岗位要求：1、本科及以上学历，计算机、软件相关专业，5年以上开发经验，1年智能合约开发经验；,,
1803-s0006,人工智能招聘,,"2、一年以上亚马逊PPC广告工作经验，有Google,Yahoo,Bing等英文SEM工作经验者优先；",,
1815-s0003,人工智能招聘,,2、熟练掌握人力资源规划与配置方法，职位分析、招聘面试等方面的专业知识和技巧。,,
1817-s0003,人工智能招聘,, 4.负责处理系统的运维，保证系统的高可用性和稳定性；,,
1829-s0012,人工智能招聘,, 2．乐于接受挑战性的工作，有较高的敬业精神，喜欢销售工作，具备较强的沟通能力、抗压性；,,
1829-s0013,人工智能招聘,, 3．普通话标准，具有良好的沟通表达能力，声音富有感染力，具有良好的敬业精神、团队精神、有明确目标；,,
1833-s0002,人工智能招聘,,要求: 1.熟悉nlp领域基本知识，了解nlp领域某一方面先进技术，对分类、匹配、生成模型、强化学习等有深入理解优先，具备相关学术研究经验或竞赛经验优先。,,
1846-s0006,人工智能招聘,, o 在这里，既有经验丰富的架构师，也有潜力无限的新人，同时也继承了技术团队传承多年的工程师文化和技术氛围。,,
1846-s0015,人工智能招聘,, 我们致力于成为世界顶尖的专业大数据技术、产品、服务提供商。,,
1848-s0007,人工智能招聘,, 4、具有优秀的数据分析能力，能快速理解业务，并设计相应的数据模型；,,
1852-s0005,人工智能招聘,, 2、熟悉Linux和Windows环境下基于CC的SDK开发流程，至少能熟练使用Makefile、Ninja、CMake、AutoMake、QMake等编译工具中的一种；,,
1852-s0006,人工智能招聘,, 3、对Python有一定了解，能够对Python实现的算法进行重构；,,
1858-s0009,人工智能招聘,, 3、对销售前技术支持岗位有强烈的兴趣和发展意愿；,,
1858-s0016,人工智能招聘,,]。,,
1869-s0000,人工智能招聘,,岗位职责：OTT电视领域行业分析师，主要负责智能大屏行业的产业信息搜集、大数据分析、目标公司调研、撰写相关报告等工作。,,
1897-s0002,人工智能招聘,,2、对计算机行业感兴趣，专业不限，热爱互联网工作（非销售、非保险岗位）；,,
1908-s0009,人工智能招聘,,7、英文读写能力强，可与客户进行英文邮件的沟通与英文文档的撰写；,,
1925-s0005,人工智能招聘,,任职要求：1、本科学历，统计学、数学、计算机语言等相关专业，英语4级或以上；,,
1925-s0022,人工智能招聘,,公司位于荔湾区1850园区，便利的交通、办公环境优美舒适，团队年轻奋发有朝气，坚持以人为本的管理理念，营造和谐的企业氛围。,,
972-s0002,人工智能招聘,, 岗位要求： 本科以上学历，外语 市场营销 工程 暖通类相关专业 英语读写流利 工作经验及年限：3年以上，40周岁以下 1.具有强烈的进取心、精力充沛、身体健康、乐观豁达、富有开拓精神。,,
995-s0011,人工智能招聘,,6.热爱互联网，有医疗行业工作经验尤佳。,,
1954-s0007,阿里云公开数据集,,'],,
1957-s0000,阿里云公开数据集,,"['岗位职责：', '1、负责公司运维项目的系统升级、扩容需求与资源落实,配合开发需求,测试、调整运维平台', '2、网络以及服务器的网络设置、维护和优化、网络的安全监控、系统性能管理和优化。",,
1957-s0004,阿里云公开数据集,,"', '5、熟练掌握nginx/tomcat/MySQL/php等常见应用软件的部署、管理和维护以及相关知识.', '6、3年以上工作经验', '7、掌握docker常用操作，对docker的网络、存储、安全有深入的理解；",,
1960-s0001,阿里云公开数据集,,"', '2、涉及主要技术专业：计算机网络、信息集成等；",,
1960-s0006,阿里云公开数据集,,"', '3、了解系统集成工程规划、施工及验收流程；",,
1960-s0010,阿里云公开数据集,,"', '7、具有项目管理相关证书、会工程制图者优先考虑；",,
1960-s0011,阿里云公开数据集,,"', '8、技术证书:具体CCNA、HCNA、MCSE、电工等与网络系统及强弱电相关认证者优先；",,
1960-s0012,阿里云公开数据集,,"', '9、广东户籍优先、懂粤语优先；",,
1960-s0017,阿里云公开数据集,,"', '3、为员工购买住房公积金、社会保险和商业保险。",,
1960-s0023,阿里云公开数据集,,"', '8、提供健全的员工培训，不定时地举行员工聚餐、外出游玩等活动。",,
1973-s0003,阿里云公开数据集,,"', '4、对粉丝和社群的问题进行整理分析，及时反馈用户需求和问题。",,
1973-s0006,阿里云公开数据集,,"', '4、会聊天，有服务意识，善于与人沟通，具备较好的协调、沟通能力；",,
1973-s0013,阿里云公开数据集,,"', '公司创始合伙人均出身于岭南知名学府中山大学，具有多年电子商务行业经验，领军品牌稳居主流类目top10。",,
1973-s0014,阿里云公开数据集,,在实力雄厚的投资方支持下，创办广州逸仙电子商务公司，目前已获得包括真格基金徐小平、弘毅资本（联想集团）等知名VC投资机构的多轮投资。,,
1973-s0015,阿里云公开数据集,,"', '公司执行“以人为本”的人力资源理念，重视员工的能力开发和长远发展，因应员工的特长兴趣安排岗位，并由管理层给予培训和指导，鼓励员工不断学习成长。",,
1973-s0021,阿里云公开数据集,,"', '4、奖励机制——设置月度绩效奖金，年底双薪；",,
1973-s0022,阿里云公开数据集,,更会不定期设置额外的激励奖金机制；,,
1973-s0024,阿里云公开数据集,,"', '5、工作时间——午休1.5小时，大小周；",,
1973-s0031,阿里云公开数据集,,'],,
1975-s0007,阿里云公开数据集,,"', '4、需要有行业客户资源，或客户开发能力。",,
1976-s0005,阿里云公开数据集,,"', '6、根据部门工作需要组织参与售后服务相关工作；",,
1976-s0007,阿里云公开数据集,,"', '1、计算机相关专业毕业，或有项目开发经验；",,
1976-s0015,阿里云公开数据集,,'],,
1977-s0004,阿里云公开数据集,,"', '5. 规划网络及ICT环境的运维计划；",,
1977-s0006,阿里云公开数据集,,"', '2.\xa0了解H3C、Huawei、Juniper等网络产品知识;",,
1977-s0008,阿里云公开数据集,,掌握L2TP、GRE、IPSEC等隧道技术，精通MPLS/MPLS-VPN/RR/IPLC/IEPL技术，熟悉主流SD-Wan网络；,,
1977-s0014,阿里云公开数据集,,"', '9.\xa0普通话流利，良好的的英语读写能力，懂粤语者优先；",,
1979-s0000,阿里云公开数据集,,['1、根据公司要求，作为SPC服务的重要环节，保障所有驻厂设备及运行服务的安全稳定；,,
1979-s0002,阿里云公开数据集,,"', '3、保守公司商业机密，技术工艺秘密等；",,
1979-s0006,阿里云公开数据集,,"', '3、 具备较强的动手能力，具备一定的英语文献阅读能力和交流能力；",,
108-s0004,应届生招聘,, 任职资格： 有无经验均可，应届生优先，需要有勤奋肯学精神，喜欢网店运营工作者优先。,,
119-s0005,应届生招聘,, 任职资格： 1、专科以上学历，计算机、市场营销相关专业，口齿清晰，普通话流利，语音富有感染力；,,
129-s0002,应届生招聘,empty_welfare,2. 完善的假期组合：带薪年假、带薪病假及法定假期;,,
136-s0000,应届生招聘,,​岗位职责：1.按要求维护和整理好工作工具；,,
144-s0005,应届生招聘,, 三、工作时间： 1、早九晚六，午休2小时。,,
154-s0004,应届生招聘,,&nbsp;,,
154-s0006,应届生招聘,,2、20-35岁，男女不限，口齿清晰，普通话流利；,,
19-s0010,应届生招聘,,8、年龄23-35岁，机械类专业，应届毕业生或2年以上机械类加工经验、量仪销售经验、机械机床或刀具销售背景优先考虑,,
190-s0010,应届生招聘,,4、性格开朗，为人热情，有耐心，能认真对待每一个客户，有一定的电脑操作基础；,,
20-s0003,应届生招聘,, 4. 辅导样板门店使用管理系统及经营管理模式。,,
212-s0005,应届生招聘,,6. 底薪4K加高提成任职要求：1、男女不限，中专以上学历，具备简单英文交流能力。,,
223-s0002,应届生招聘,,4、有同业经验优先考虑，同时欢迎优秀应届毕业生应聘,,
235-s0010,应届生招聘,,根据客户信息提前联系客户，安全高效接送货物，从而提高客户满意度。,,
237-s0002,应届生招聘,, <br>3、数据分析及输出；,,
254-s0007,应届生招聘,empty_welfare, 5.促成买卖双方交易达成，协助双方合同签署、办理权属转移等工作. （三）福利待遇1.基本保障：新人实习期（助理经纪人）内可享受无责任底薪3000元/月、最长6个月。,,
258-s0008,应届生招聘,,工作时间：每天工作8小时，排班制，最晚工作时间21:00。,,
267-s0005,应届生招聘,,3、能熟练地使用汇编语言、C语言编写单片机程序，掌握UART/IIC/SPI等通信接口；,,
270-s0002,应届生招聘,,br3、具有信号处理理论与算法、电子电路基础；,,
307-s0006,应届生招聘,, 2、普通话标准，口齿清晰，具有良好的表达能力和沟通技巧；,,
307-s0014,应届生招聘,empty_welfare,劳动法规定带薪年假；,,
307-s0015,应届生招聘,, 5、免费下午茶、晚餐供应；,,
310-s0001,应届生招聘,,2、在采样及现场检测过程中，及时、准确的做好原始数据的采集和记录;,,
310-s0007,应届生招聘,,4、具备良好的学习能力和工作的积极主动性。,,
310-s0008,应届生招聘,,5、有C1驾照，且能熟练驾驶小型汽车。,,
345-s0001,应届生招聘,,2．根据客户和合作伙伴需求设计系统建设解决方案，按照文档规范整理编写技术支持文档;,,
355-s0008,应届生招聘,,2、性格外向，普通话标准，品貌端正；,,
367-s0003,应届生招聘,, 4、根据需要购买支票，负责开具支票。,,
374-s0001,应届生招聘,,如果你害怕辛苦，害怕检查监督，害怕领导啰嗦教导，恐惧学习，非诚勿扰。,,
376-s0008,应届生招聘,,2、具备一定的英语口语能力，有相关工作经验者优先考虑；,,
38-s0001,应届生招聘,,2、负责答复，跟进及反馈客服咨询。,,
38-s0006,应届生招聘,,3、乐于接受挑战，能够承受工作压力。,,
391-s0015,应届生招聘,,3.普通话标准，掌握基本的电脑操作，有播音主持、语言教育类经验者优先录用；,,
394-s0001,应届生招聘,,2、接待来访客人并及时准确通知被访人员3、收发公司邮件、报刊、传真和物品，并做好登记管理以及转递工作4、负责快件收发、机票及火车票的准确预定5、负责前台区域的环境维护，保证设备安全及正常运转6、完成上级主管交办的其它工作任职资格：1、形象好，气质佳，年龄18—26岁，身高1.58以上2、大专及以上学历，文秘、行政管理等相关专业优先考虑3、较强的服务意识，熟练使用电脑办公软件；,,
394-s0003,应届生招聘,,5、普通话准确流利；,,
40-s0001,应届生招聘,, 二、晋升渠道：&#160;,,
40-s0008,应届生招聘,,若您符合我们公司招聘要求也可携带个人简历主动来面试。,,
404-s0001,应届生招聘,,2、身体健康、不晕车、认识26个英文字母，无明显纹身烟疤。,,
404-s0012,应届生招聘,,其他福利：1、免费提供一日三餐，出差享有专项补贴（详见上方工资待遇）2、免费提供2～4人间，有空调，洗衣机，独立卫生间，电视，免费宽带。,,
404-s0014,应届生招聘,empty_process,本职位公司直招，没有中介费，服务费，体检等！,,
406-s0000,应届生招聘,,[薪酬福利：1、无责底薪3000+绩效+提成+奖金（开单奖、周奖、月奖）2、丰厚福利：带薪休假、社保、节假日礼品、生日关怀健康体检、活动抽奖岗位职责:1、利用网络对公司产品全力宣传、推广、销售2、接受客户咨询，了解客户需求，并积极寻求销售机会;,,
411-s0009,应届生招聘,,基本要求：16-45周岁、男性、初中以上文化程度、普通话标准；,,
411-s0029,应届生招聘,," 宿舍区条件：2/4人间，空调、热水器、24小时开水,1年以上厨师经验，无经验可做学徒；",,
421-s0003,应届生招聘,,3、应届毕业生加入我们！,,
421-s0006,应届生招聘,,3、根据客户需求意向，带客户看房——对销售产品及周边环境了如指掌；,,
457-s0007,应届生招聘,, 2、接待门店来访客户，进行房源和客源配对，根据客户需求带客户看房；,,
472-s0003,应届生招聘,,4、各校应届毕业生及实习生可考虑。,,
515-s0003,应届生招聘,,任职资格：1、中专以上学历，口齿清晰，普通话标准，2、有呼叫中心工作经验优先；,,
523-s0006,应届生招聘,,任职要求：1、统招本科学历，工科相关（机电、自动化等）;,,
523-s0008,应届生招聘,,3、英语CET4及以上、口语流利，CET6优先;,,
531-s0001,应届生招聘,,五官端正，身材匀称，气质较好，普通话标准。,,
549-s0001,应届生招聘,,任职资格：可作专业培训接受应届毕业生。,,
558-s0000,应届生招聘,,任职要求：公司为六天工作制，本岗位要求应聘者熟悉医药行业的操作流程，有医药公司客服、销售相关工作经验优先。,,
558-s0006,应届生招聘,,岗位内容及职责：1.负责所有销售数据的统计、分析、管理以及省区流向的统计与分析；,,
580-s0000,应届生招聘,,一、岗位职责 1、纯网络销售，无需外出，无需打电话；,,
582-s0002,应届生招聘,,1、达到英语四级水平，英语口语流利且具有一定的写作能力。,,
582-s0003,应届生招聘,,lt;,,
598-s0009,应届生招聘,,5、单休 关注公众号马 克 数 据 网,,
610-s0001,应届生招聘,, 1.底薪+提成+奖金，每周有休，一年2次旅游，每月有团建，新人一对一教?,,
610-s0020,应届生招聘,,?,,
610-s0024,应届生招聘,,?,,
610-s0026,应届生招聘,,?,,
622-s0014,应届生招聘,,2、普通话标准，工作积极主动，乐观开朗，无不良社会关系；,,
628-s0004,应届生招聘,,技术员2工作内容：1.安全带vs(车体感应），ws（织带感应）设备及安全带卷收力试验设备操作（设备为英文界面）；,,
628-s0009,应届生招聘,,2.能适应加班；,,
628-s0011,应届生招聘,,4.英语或日语能看懂；,,
633-s0003,应届生招聘,, 4) 负责为理事提供送药服务；,,
636-s0000,应届生招聘,,1、负责编制标书、开标等招投标相关工作；,,
636-s0001,应届生招聘,, 2、专业不限，有较强的文字编写能力，善于沟通，表达能力强，责任心强，细心，适应加班，熟悉photoshop优先。,,
648-s0008,应届生招聘,,注：欢迎应届毕业生投递简历，会计或英语相关专业者优先考虑 （更多数据，详见马克数据网）,,
653-s0007,应届生招聘,empty_welfare, 三、岗位待遇： 1、高收入：行业内超高提成（6%起）+奖金+交补+绩效+无责底薪=8000起/月 2、高保障：带薪年假+月/季/年度团队活动+提供住宿+生日聚会+节日礼物 3、好发展：公平的竞争平台+没有天花板的晋升空间 工作环境 工作地址 杭州市下城区西悦生活广场1F中庭 工作地址 杭州市下城区西悦生活广场1F中庭,,
658-s0004,应届生招聘,,3：无不良驾驶记录；,,
662-s0000,应届生招聘,,职位描述1、根据新产品开发计划，研制、开发新的产品；,,
683-s0005,应届生招聘,,2、热爱教师工作，一年及以上相关工作经验，熟悉成都中高考考点；,,
683-s0009,应届生招聘,,3、职位晋升:教学教师—学科组长—教学主任—教管主任—校区总监在这里，你将拥有——一群让你为之骄傲的小伙伴：热情坚定、懂得分享、自我驱动的快乐团队欢迎你来发现更多的精彩.....,,
694-s0001,应届生招聘,,2.掌握商品卖点，向粉丝介绍产品并引导下单3.及时与粉丝互动，调动直播间气氛，引导粉丝点赞，关注，下单。,,
695-s0005,应届生招聘,,任职要求：1、20-45周岁，学历不限，户籍不限；,,
695-s0006,应届生招聘,,2、有高度的敬业精神和责任心，吃苦耐劳，有较强的协调和沟通能力；,,
701-s0002,应届生招聘,, 3、协调各专业之间的协作配合工作，保证设计工作质量，对设计全过程进行专业管理和技术负责 。,,
701-s0005,应届生招聘,, 2、有三年以上相关专业工作经验;,,
703-s0005,应届生招聘,, 4.新员工享受岗前1个月是带薪实习。,,
727-s0003,应届生招聘,, 任职要求： 1、18-35岁，口齿清晰，普通话流利，语音富有感染力；,,
745-s0001,应届生招聘,,2、负责项目上票据整理、办公用品的使用登记和管理;,,
748-s0000,应届生招聘,,"[[加入我们，有激情有高薪] , , 宁德市创嘉房产有限公司为直营连锁，经过多年发展，目前在宁德已达多家门店，是一家专业从事经营各类型住宅、写字楼及商铺等物业买卖、租赁及金融业务担保服务的民营企业。",,
